spec,season_scope,target,beta,cluster_se,ci_low,ci_high,cluster_p_two_sided,n_stacked,n_weir_years,n_weirs,n_years,df_resid,fixed_effects,terms,vif_target,ci_excludes_zero,ri_p_right,ri_blocks,n_permutations
B0_baseline_zscaled,annual_all_samples,log1p_tau_x_cyano,0.5365643607269852,0.1084027939285646,0.30550927487053614,0.7676194465834343,0.00017459943883012607,288,144,16,9,261,weir_name+year,log1p_tau_z|outcome_is_cyano|log1p_tau_x_cyano,1.9999999999999996,True,0.0002,year,4999.0
B0_baseline_zscaled,bloom_season_06_10,log1p_tau_x_cyano,0.625820511198836,0.09182548184942999,0.430099129640061,0.821541892757611,5.839045628837733e-06,288,144,16,9,261,weir_name+year,log1p_tau_z|outcome_is_cyano|log1p_tau_x_cyano,1.9999999999999996,True,0.0002,year,4999.0
P_primary,annual_all_samples,log1p_tau_x_cyano,0.7236171855437008,0.12094391182583294,0.46583133964430756,0.981403031443094,2.5081976484906216e-05,288,144,16,9,257,weir_name+year,log1p_tau_z|outcome_is_cyano|log1p_tau_x_cyano|log_discharge_z|log_discharge_x_cyano|water_temp_c_z|water_temp_c_x_cyano,3.1306459751256783,True,0.0002,year,4999.0
S7_primary_bloom,bloom_season_06_10,log1p_tau_x_cyano,0.8571929924658216,0.09438001319910552,0.6560267562226625,1.0583592287089807,1.745461345939808e-07,288,144,16,9,257,weir_name+year,log1p_tau_z|outcome_is_cyano|log1p_tau_x_cyano|log_discharge_z|log_discharge_x_cyano|water_temp_c_z|water_temp_c_x_cyano,2.9164743954019077,True,0.0002,year,4999.0
S1_plus_storage,annual_all_samples,log1p_tau_x_cyano,1.591785320705328,0.292346603007762,0.9686632865784895,2.2149073548321665,6.77142319844278e-05,288,144,16,9,255,weir_name+year,log1p_tau_z|outcome_is_cyano|log1p_tau_x_cyano|log_discharge_z|log_discharge_x_cyano|water_temp_c_z|water_temp_c_x_cyano|log_storage_z|log_storage_x_cyano,34.81210801440805,True,0.0002,year,4999.0
S2_decomposition[log_storage_x_cyano],annual_all_samples,log_storage_x_cyano,0.6531549276361481,0.1759275307302707,0.2781742722096591,1.028135583062637,0.002084442202494648,288,144,16,9,259,weir_name+year,outcome_is_cyano|log_storage_z|log_storage_x_cyano|log_discharge_z|log_discharge_x_cyano,2.242715350369476,True,,,
S2_decomposition[log_discharge_x_cyano],annual_all_samples,log_discharge_x_cyano,0.19103482239296124,0.12919477571978255,-0.08433732360366644,0.46640696838958895,0.15992328495221061,288,144,16,9,259,weir_name+year,outcome_is_cyano|log_storage_z|log_storage_x_cyano|log_discharge_z|log_discharge_x_cyano,2.242715350369477,False,,,
S2_decomposition[log_storage_x_cyano],bloom_season_06_10,log_storage_x_cyano,0.7603092866945732,0.1552694122073598,0.42936036860586263,1.0912582047832837,0.0001935843670031127,288,144,16,9,259,weir_name+year,outcome_is_cyano|log_storage_z|log_storage_x_cyano|log_discharge_z|log_discharge_x_cyano,2.271259621335293,True,,,
S2_decomposition[log_discharge_x_cyano],bloom_season_06_10,log_discharge_x_cyano,-0.013507142362797136,0.09311403417374288,-0.21197500818765883,0.18496072346206457,0.8865945430909261,288,144,16,9,259,weir_name+year,outcome_is_cyano|log_storage_z|log_storage_x_cyano|log_discharge_z|log_discharge_x_cyano,2.2712596213352936,False,,,
S4_robust_subset,annual_all_samples,log1p_tau_x_cyano,0.7093353436119495,0.11795555880903909,0.4579190213921737,0.9607516658317252,2.3737322603495377e-05,230,115,16,9,199,weir_name+year,log1p_tau_z|outcome_is_cyano|log1p_tau_x_cyano|log_discharge_z|log_discharge_x_cyano|water_temp_c_z|water_temp_c_x_cyano,3.2093357883571376,True,0.0002,year,4999.0
S5_water_level,annual_all_samples,log1p_tau_x_cyano,0.5717144667331904,0.13717811099860322,0.279326244384469,0.8641026890819117,0.0008250756527378717,288,144,16,9,257,weir_name+year,log1p_tau_z|outcome_is_cyano|log1p_tau_x_cyano|water_level_m_z|water_level_m_x_cyano|water_temp_c_z|water_temp_c_x_cyano,3.1762392116963687,True,0.0002,year,4999.0
S6_plus_rainfall,annual_all_samples,log1p_tau_x_cyano,0.6007829781415936,0.1423845988177004,0.2972973896968951,0.9042685665862922,0.0007431575108234264,288,144,16,9,255,weir_name+year,log1p_tau_z|outcome_is_cyano|log1p_tau_x_cyano|log_discharge_z|log_discharge_x_cyano|water_temp_c_z|water_temp_c_x_cyano|rainfall_mm_z|rainfall_mm_x_cyano,4.232482182129941,True,0.0002,year,4999.0
