site,date,component_rows,scene_ids,product_ids,tiles,utc_timestamps,ndci_component_values,ndci_component_counts,ndci_weighted_numerator,ndci_valid_pixels,ndci_mean,fai_component_values,fai_component_counts,fai_weighted_numerator,fai_valid_pixels,fai_mean
Baekje Weir,2017-05-03,2,20170503T021611_20170503T022350_T52SBF|20170503T021611_20170503T022350_T52SCF,S2A_MSIL2A_20170503T021611_N0500_R003_T52SBF_20230925T151324|S2A_MSIL2A_20170503T021611_N0500_R003_T52SCF_20230925T151324,52SBF|52SCF,2017-05-03T02:27:32.801000+00:00|2017-05-03T02:27:29.037000+00:00,-0.060996725849759001|0.062850578044847893,2227|10510,524.71986678393807,12737,0.041196503633817862,-0.0101024470077399|-0.00043379693370910002,2227|10510,-27.057355259519397,12737,-0.002124311475191913
Baekje Weir,2017-09-25,1,20170925T021549_20170925T022334_T52SBF,S2B_MSIL2A_20170925T021549_N0500_R003_T52SBF_20230917T092502,52SBF,2017-09-25T02:27:16.804000+00:00,0.16007152737775471,2227,356.47929147025974,2227,0.16007152737775471,0.055369491251672599,2227,123.30785701747487,2227,0.055369491251672599
Baekje Weir,2017-10-30,2,20171030T021821_20171030T022623_T52SBF|20171030T021821_20171030T022623_T52SCF,S2A_MSIL2A_20171030T021821_N0500_R003_T52SBF_20230911T092126|S2A_MSIL2A_20171030T021821_N0500_R003_T52SCF_20230911T092126,52SBF|52SCF,2017-10-30T02:27:29.826000+00:00|2017-10-30T02:27:26.061000+00:00,0.0003932311171589|0.025069304846876101,2227|10510,264.3541196385807,12737,0.020754818217679258,-0.0123011359986282|-0.0112369649555617,2227|10510,-145.49513155189845,12737,-0.01142302987767123
Baekje Weir,2018-06-02,1,20180602T021639_20180602T021638_T52SCF,S2B_MSIL2A_20180602T021639_N0500_R003_T52SCF_20230827T172817,52SCF,2018-06-02T02:27:23.728000+00:00,0.082402098505234098,10510,866.04605529001037,10510,0.082402098505234098,-0.00065452377734639999,10510,-6.8790448999106637,10510,-0.00065452377734639999
Baekje Weir,2018-08-01,2,20180801T021649_20180801T022346_T52SBF|20180801T021649_20180801T022346_T52SCF,S2B_MSIL2A_20180801T021649_N0500_R003_T52SBF_20230709T134957|S2B_MSIL2A_20180801T021649_N0500_R003_T52SCF_20230709T134957,52SBF|52SCF,2018-08-01T02:27:27.203000+00:00|2018-08-01T02:27:23.448000+00:00,0.1740448394269816|0.27409344919473089,2227|10510,3268.3200084405098,12737,0.25660045602893222,0.034088195128746002|0.0095382322808616003,2227|10510,176.16123182357276,12737,0.013830669060498764
Baekje Weir,2018-09-10,1,20180910T021559_20180910T022447_T52SBF,S2B_MSIL2A_20180910T021559_N0500_R003_T52SBF_20230708T002611,52SBF,2018-09-10T02:27:21.531000+00:00,0.22263323993463571,2227,495.80422533443374,2227,0.22263323993463571,0.0533925734440431,2227,118.90526105988398,2227,0.0533925734440431
Baekje Weir,2018-10-20,2,20181020T021709_20181020T022232_T52SBF|20181020T021709_20181020T022232_T52SCF,S2B_MSIL2A_20181020T021709_N0510_R003_T52SBF_20250531T231417|S2B_MSIL2A_20181020T021709_N0510_R003_T52SCF_20250531T231417,52SBF|52SCF,2018-10-20T02:27:27.720000+00:00|2018-10-20T02:27:23.956000+00:00,0.23269232623549979|0.095682976726324906,2227|10510,1523.8338959201328,12737,0.11963836821230532,-0.0034356836188371999|-0.0062463263087234999,2227|10510,-73.300156923834422,12737,-0.0057548996564210112
Baekje Weir,2018-10-30,1,20181030T021819_20181030T022432_T52SCF,S2B_MSIL2A_20181030T021819_N0500_R003_T52SCF_20230707T113406,52SCF,2018-10-30T02:27:24.389000+00:00,0.0043990219780886001,10510,46.233720989711188,10510,0.0043990219780886001,-0.0040696109336645003,10510,-42.771610912813898,10510,-0.0040696109336645003
Baekje Weir,2019-05-03,2,20190503T021611_20190503T021607_T52SBF|20190503T021611_20190503T021607_T52SCF,S2A_MSIL2A_20190503T021611_N0500_R003_T52SBF_20221205T094439|S2A_MSIL2A_20190503T021611_N0500_R003_T52SCF_20221205T094439,52SBF|52SCF,2019-05-03T02:27:34.480000+00:00|2019-05-03T02:27:30.721000+00:00,-0.15428089232459621|0.049801202784991498,2227|10510,179.82709406338483,12737,0.014118481122979103,-0.010989895603325301|-0.0013604123724910999,2227|10510,-38.772431543486903,12737,-0.0030440787896276128
Baekje Weir,2019-05-23,2,20190523T021611_20190523T022214_T52SBF|20190523T021611_20190523T022214_T52SCF,S2A_MSIL2A_20190523T021611_N0500_R003_T52SBF_20221212T010402|S2A_MSIL2A_20190523T021611_N0500_R003_T52SCF_20221212T010402,52SBF|52SCF,2019-05-23T02:27:34.054000+00:00|2019-05-23T02:27:30.293000+00:00,-0.017944509616745499|0.0264148083296721,2227|10510,237.65721262836155,12737,0.018658806047606308,-0.0125655863655313|-0.0039046368226382999,2227|10510,-69.021293841966738,12737,-0.0054189600252780665
