site,in_situ_date,chlorophyll_a,chlorophyll_a_station_count,chlorophyll_a_station_codes,chlorophyll_a_source_row_locators,chlorophyll_a_source_snapshot_hashes,harmful_cyanobacteria,harmful_cyanobacteria_station_count,harmful_cyanobacteria_station_codes,harmful_cyanobacteria_source_row_locators,harmful_cyanobacteria_source_snapshot_hashes,window,window_radius_days,window_start_year,window_end_year,satellite_dates,signed_lags,min_abs_lag,tie_count,satellite_component_rows,scene_ids,product_ids,tiles,utc_timestamps,ndci_valid_pixels,ndci_weighted_numerator,ndci_mean,fai_valid_pixels,fai_weighted_numerator,fai_mean
Baekje Weir,2017-05-02,78.799999999999997,1,3012A42,all_2017_05.xml#item[163],0e91c671a1ff8d31bbfccab8e4c1da3ae7255618a933afad81b21e373cc72aa9,0,1,3012A42,all_2017_05.xml#item[163],0e91c671a1ff8d31bbfccab8e4c1da3ae7255618a933afad81b21e373cc72aa9,pm1_2017_2025,1,2017,2025,2017-05-03,1,1,1,2,20170503T021611_20170503T022350_T52SBF|20170503T021611_20170503T022350_T52SCF,S2A_MSIL2A_20170503T021611_N0500_R003_T52SBF_20230925T151324|S2A_MSIL2A_20170503T021611_N0500_R003_T52SCF_20230925T151324,52SBF|52SCF,2017-05-03T02:27:32.801000+00:00|2017-05-03T02:27:29.037000+00:00,12737,524.71986678393807,0.041196503633817862,12737,-27.057355259519397,-0.002124311475191913
Baekje Weir,2017-09-25,41.399999999999999,1,3012A42,all_2017_09.xml#item[161],2cefba013e7d761fef2f78ed1e184b2f502f0243273087311ec8d033ad4d5480,8150,1,3012A42,all_2017_09.xml#item[161],2cefba013e7d761fef2f78ed1e184b2f502f0243273087311ec8d033ad4d5480,pm1_2017_2025,1,2017,2025,2017-09-25,0,0,1,1,20170925T021549_20170925T022334_T52SBF,S2B_MSIL2A_20170925T021549_N0500_R003_T52SBF_20230917T092502,52SBF,2017-09-25T02:27:16.804000+00:00,2227,356.47929147025974,0.16007152737775471,2227,123.30785701747487,0.055369491251672599
Baekje Weir,2017-10-30,63.399999999999999,1,3012A42,all_2017_11.xml#item[202],d9aff3d5ad35dfe763e88aefe8f923aab82abe7c0deb354153a7566314947af1,980,1,3012A42,all_2017_11.xml#item[202],d9aff3d5ad35dfe763e88aefe8f923aab82abe7c0deb354153a7566314947af1,pm1_2017_2025,1,2017,2025,2017-10-30,0,0,1,2,20171030T021821_20171030T022623_T52SBF|20171030T021821_20171030T022623_T52SCF,S2A_MSIL2A_20171030T021821_N0500_R003_T52SBF_20230911T092126|S2A_MSIL2A_20171030T021821_N0500_R003_T52SCF_20230911T092126,52SBF|52SCF,2017-10-30T02:27:29.826000+00:00|2017-10-30T02:27:26.061000+00:00,12737,264.3541196385807,0.020754818217679258,12737,-145.49513155189845,-0.01142302987767123
Baekje Weir,2018-08-01,28.800000000000001,1,3012A42,all_2018_08.xml#item[232],eb6ab5cb0e5c780707476bcff676b2daae21ee08de644fe12cf5b34210a3b9cf,119465,1,3012A42,all_2018_08.xml#item[232],eb6ab5cb0e5c780707476bcff676b2daae21ee08de644fe12cf5b34210a3b9cf,pm1_2017_2025,1,2017,2025,2018-08-01,0,0,1,2,20180801T021649_20180801T022346_T52SBF|20180801T021649_20180801T022346_T52SCF,S2B_MSIL2A_20180801T021649_N0500_R003_T52SBF_20230709T134957|S2B_MSIL2A_20180801T021649_N0500_R003_T52SCF_20230709T134957,52SBF|52SCF,2018-08-01T02:27:27.203000+00:00|2018-08-01T02:27:23.448000+00:00,12737,3268.3200084405098,0.25660045602893222,12737,176.16123182357276,0.013830669060498764
Baekje Weir,2018-09-10,6.4000000000000004,1,3012A42,all_2018_09.xml#item[155],fcac83cf1f1a1965ca4571fc87cd45ac3236c28cf7f4d372cd2305bc8ce7ba5d,650,1,3012A42,all_2018_09.xml#item[155],fcac83cf1f1a1965ca4571fc87cd45ac3236c28cf7f4d372cd2305bc8ce7ba5d,pm1_2017_2025,1,2017,2025,2018-09-10,0,0,1,1,20180910T021559_20180910T022447_T52SBF,S2B_MSIL2A_20180910T021559_N0500_R003_T52SBF_20230708T002611,52SBF,2018-09-10T02:27:21.531000+00:00,2227,495.80422533443374,0.22263323993463571,2227,118.90526105988398,0.0533925734440431
Baekje Weir,2018-10-29,9.3000000000000007,1,3012A42,all_2018_11.xml#item[195],edf8004378991d7d8a1eda5aafc94365a9446f2898644c9ba79044d02746102f,0,1,3012A42,all_2018_11.xml#item[195],edf8004378991d7d8a1eda5aafc94365a9446f2898644c9ba79044d02746102f,pm1_2017_2025,1,2017,2025,2018-10-30,1,1,1,1,20181030T021819_20181030T022432_T52SCF,S2B_MSIL2A_20181030T021819_N0500_R003_T52SCF_20230707T113406,52SCF,2018-10-30T02:27:24.389000+00:00,10510,46.233720989711188,0.0043990219780886001,10510,-42.771610912813898,-0.0040696109336645003
Baekje Weir,2019-06-03,76.200000000000003,1,3012A42,all_2019_06.xml#item[165],a711afcafa0481241e0dc8c77a53b83c5a5e15ec5b7e9bc7a23154a790f8eff9,0,1,3012A42,all_2019_06.xml#item[165],a711afcafa0481241e0dc8c77a53b83c5a5e15ec5b7e9bc7a23154a790f8eff9,pm1_2017_2025,1,2017,2025,2019-06-02,-1,1,1,2,20190602T021611_20190602T021605_T52SBF|20190602T021611_20190602T021605_T52SCF,S2A_MSIL2A_20190602T021611_N0212_R003_T52SBF_20190602T052125|S2A_MSIL2A_20190602T021611_N0212_R003_T52SCF_20190602T052125,52SBF|52SCF,2019-06-02T02:27:33+00:00|2019-06-02T02:27:29+00:00,5667,389.90514006338282,0.06880274220282033,5667,74.754301094354716,0.013191159536678087
Baekje Weir,2019-06-17,62.799999999999997,1,3012A42,all_2019_06.xml#item[163],a711afcafa0481241e0dc8c77a53b83c5a5e15ec5b7e9bc7a23154a790f8eff9,0,1,3012A42,all_2019_06.xml#item[163],a711afcafa0481241e0dc8c77a53b83c5a5e15ec5b7e9bc7a23154a790f8eff9,pm1_2017_2025,1,2017,2025,2019-06-17,0,0,1,1,20190617T021609_20190617T022127_T52SCF,S2B_MSIL2A_20190617T021609_N0212_R003_T52SCF_20190617T055313,52SCF,2019-06-17T02:27:34+00:00,10409,574.21009711965348,0.055164770594644391,10409,279.89741691037716,0.026889943021460003
Baekje Weir,2019-07-01,79.5,1,3012A42,all_2019_07.xml#item[173],8342200faf18d662776cd944a3221f1a3357c954c6721aff0e8a0dfbc2238e9c,0,1,3012A42,all_2019_07.xml#item[173],8342200faf18d662776cd944a3221f1a3357c954c6721aff0e8a0dfbc2238e9c,pm1_2017_2025,1,2017,2025,2019-07-02,1,1,1,1,20190702T021611_20190702T021608_T52SCF,S2A_MSIL2A_20190702T021611_N0212_R003_T52SCF_20190702T051730,52SCF,2019-07-02T02:27:31.742000+00:00,10200,481.78193946000823,0.047233523476471397,10200,106.24230619860852,0.0104159123724126
Baekje Weir,2019-07-08,47.700000000000003,1,3012A42,all_2019_07.xml#item[177],8342200faf18d662776cd944a3221f1a3357c954c6721aff0e8a0dfbc2238e9c,0,1,3012A42,all_2019_07.xml#item[177],8342200faf18d662776cd944a3221f1a3357c954c6721aff0e8a0dfbc2238e9c,pm1_2017_2025,1,2017,2025,2019-07-07,-1,1,1,1,20190707T021609_20190707T021612_T52SCF,S2B_MSIL2A_20190707T021609_N0212_R003_T52SCF_20190707T044912,52SCF,2019-07-07T02:27:35+00:00,10510,664.99895656142985,0.063272973983009503,10510,90.961324943671258,0.0086547407177612994
Baekje Weir,2019-08-12,97.700000000000003,1,3012A42,all_2019_08.xml#item[215],03d14c05d8c382abeaf265875aea4a81b084f6e27a6461ad1f353c3c2e087213,220,1,3012A42,all_2019_08.xml#item[215],03d14c05d8c382abeaf265875aea4a81b084f6e27a6461ad1f353c3c2e087213,pm1_2017_2025,1,2017,2025,2019-08-11,-1,1,1,2,20190811T021611_20190811T022620_T52SBF|20190811T021611_20190811T022620_T52SCF,S2A_MSIL2A_20190811T021611_N0213_R003_T52SBF_20190811T062028|S2A_MSIL2A_20190811T021611_N0213_R003_T52SCF_20190811T062028,52SBF|52SCF,2019-08-11T02:27:34.412000+00:00|2019-08-11T02:27:30.647000+00:00,12737,1871.575858111875,0.14694008464409791,12737,505.55428332770168,0.039691786396145221
Baekje Weir,2019-08-26,144.30000000000001,1,3012A42,all_2019_08.xml#item[213],03d14c05d8c382abeaf265875aea4a81b084f6e27a6461ad1f353c3c2e087213,1705,1,3012A42,all_2019_08.xml#item[213],03d14c05d8c382abeaf265875aea4a81b084f6e27a6461ad1f353c3c2e087213,pm1_2017_2025,1,2017,2025,2019-08-26,0,0,1,2,20190826T021609_20190826T021607_T52SBF|20190826T021609_20190826T021607_T52SCF,S2B_MSIL2A_20190826T021609_N0213_R003_T52SBF_20190826T045559|S2B_MSIL2A_20190826T021609_N0213_R003_T52SCF_20190826T045559,52SBF|52SCF,2019-08-26T02:27:35.253000+00:00|2019-08-26T02:27:31.494000+00:00,10647,1767.7317771902062,0.16603097371937695,10645,474.06054037213937,0.044533634605179839
Baekje Weir,2019-09-16,98.400000000000006,1,3012A42,all_2019_09.xml#item[167],5f7034b5402fed48f4b4b641f3dd1846098c45c434a368764ab37a97bd5cb7dc,0,1,3012A42,all_2019_09.xml#item[167],5f7034b5402fed48f4b4b641f3dd1846098c45c434a368764ab37a97bd5cb7dc,pm1_2017_2025,1,2017,2025,2019-09-15,-1,1,1,2,20190915T021609_20190915T022124_T52SBF|20190915T021609_20190915T022124_T52SCF,S2B_MSIL2A_20190915T021609_N0213_R003_T52SBF_20190915T054932|S2B_MSIL2A_20190915T021609_N0213_R003_T52SCF_20190915T054932,52SBF|52SCF,2019-09-15T02:27:30.684000+00:00|2019-09-15T02:27:26.929000+00:00,12737,1890.27829578917,0.14840843964741854,12734,275.02335702347528,0.021597562197540072
Baekje Weir,2019-09-30,85.400000000000006,1,3012A42,all_2019_10.xml#item[195],2aa78e629ad45ac8493f56c716bc842d4fdef58fca748baab752866e5b3882ab,0,1,3012A42,all_2019_10.xml#item[195],2aa78e629ad45ac8493f56c716bc842d4fdef58fca748baab752866e5b3882ab,pm1_2017_2025,1,2017,2025,2019-09-30,0,0,1,2,20190930T021601_20190930T021604_T52SBF|20190930T021601_20190930T021604_T52SCF,S2A_MSIL2A_20190930T021601_N0500_R003_T52SBF_20230707T024625|S2A_MSIL2A_20190930T021601_N0500_R003_T52SCF_20230707T024625,52SBF|52SCF,2019-09-30T02:27:32.263000+00:00|2019-09-30T02:27:28.496000+00:00,12737,1774.540872662227,0.13932172981567301,12737,89.934005925107272,0.0070608468183329881
Baekje Weir,2019-10-14,17.800000000000001,1,3012A42,all_2019_10.xml#item[193],2aa78e629ad45ac8493f56c716bc842d4fdef58fca748baab752866e5b3882ab,0,1,3012A42,all_2019_10.xml#item[193],2aa78e629ad45ac8493f56c716bc842d4fdef58fca748baab752866e5b3882ab,pm1_2017_2025,1,2017,2025,2019-10-15,1,1,1,2,20191015T021639_20191015T021642_T52SBF|20191015T021639_20191015T021642_T52SCF,S2B_MSIL2A_20191015T021639_N0500_R003_T52SBF_20230718T234657|S2B_MSIL2A_20191015T021639_N0213_R003_T52SCF_20191015T045544,52SBF|52SCF,2019-10-15T02:27:31.912000+00:00|2019-10-15T02:27:28.151000+00:00,12737,886.01829210823155,0.069562557282580789,12737,8.6125507754863868,0.00067618362059247759
Baekje Weir,2019-10-21,57.600000000000001,1,3012A42,all_2019_10.xml#item[192],2aa78e629ad45ac8493f56c716bc842d4fdef58fca748baab752866e5b3882ab,0,1,3012A42,all_2019_10.xml#item[192],2aa78e629ad45ac8493f56c716bc842d4fdef58fca748baab752866e5b3882ab,pm1_2017_2025,1,2017,2025,2019-10-20,-1,1,1,2,20191020T021721_20191020T021716_T52SBF|20191020T021721_20191020T021716_T52SCF,S2A_MSIL2A_20191020T021721_N0213_R003_T52SBF_20191020T052106|S2A_MSIL2A_20191020T021721_N0213_R003_T52SCF_20191020T052106,52SBF|52SCF,2019-10-20T02:27:33.920000+00:00|2019-10-20T02:27:30.154000+00:00,12737,1318.7481705536597,0.10353679599227916,12737,-26.989841354715455,-0.0021190108624256463
Baekje Weir,2020-05-11,44.600000000000001,1,3012A42,all_2020_05.xml#item[158],a8a0862f2b86021c5f5400928e6d8a93abb395d0f6cf5d43d31d2355dd3daed8,0,1,3012A42,all_2020_05.xml#item[158],a8a0862f2b86021c5f5400928e6d8a93abb395d0f6cf5d43d31d2355dd3daed8,pm1_2017_2025,1,2017,2025,2020-05-12,1,1,1,1,20200512T021559_20200512T021601_T52SCF,S2B_MSIL2A_20200512T021559_N0214_R003_T52SCF_20200512T050014,52SCF,2020-05-12T02:27:25.623000+00:00,8407,391.69923249902143,0.046592034316524499,8407,195.25843861477995,0.023225697468155101
Baekje Weir,2020-06-01,55.799999999999997,1,3012A42,all_2020_06.xml#item[157],057c628d027ba61de66947c4af51abac8b407c27bbea05f8c8d5f5cd0f0dcb43,0,1,3012A42,all_2020_06.xml#item[157],057c628d027ba61de66947c4af51abac8b407c27bbea05f8c8d5f5cd0f0dcb43,pm1_2017_2025,1,2017,2025,2020-06-01,0,0,1,1,20200601T021609_20200601T021604_T52SCF,S2B_MSIL2A_20200601T021609_N0214_R003_T52SCF_20200601T050555,52SCF,2020-06-01T02:27:28.534000+00:00,10510,523.72827084185076,0.049831424437854495,10510,61.718019601015669,0.0058723139487169996
Baekje Weir,2020-06-15,108.90000000000001,1,3012A42,all_2020_06.xml#item[159],057c628d027ba61de66947c4af51abac8b407c27bbea05f8c8d5f5cd0f0dcb43,0,1,3012A42,all_2020_06.xml#item[159],057c628d027ba61de66947c4af51abac8b407c27bbea05f8c8d5f5cd0f0dcb43,pm1_2017_2025,1,2017,2025,2020-06-16,1,1,1,2,20200616T021611_20200616T021609_T52SBF|20200616T021611_20200616T021609_T52SCF,S2A_MSIL2A_20200616T021611_N0214_R003_T52SBF_20200616T053533|S2A_MSIL2A_20200616T021611_N0214_R003_T52SCF_20200616T053533,52SBF|52SCF,2020-06-16T02:27:36.801000+00:00|2020-06-16T02:27:33.032000+00:00,12737,1214.5183119963235,0.095353561434900175,12737,148.54371460460553,0.011662378472529288
Baekje Weir,2020-06-22,156.30000000000001,1,3012A42,all_2020_06.xml#item[158],057c628d027ba61de66947c4af51abac8b407c27bbea05f8c8d5f5cd0f0dcb43,0,1,3012A42,all_2020_06.xml#item[158],057c628d027ba61de66947c4af51abac8b407c27bbea05f8c8d5f5cd0f0dcb43,pm1_2017_2025,1,2017,2025,2020-06-21,-1,1,1,2,20200621T021609_20200621T021605_T52SBF|20200621T021609_20200621T021605_T52SCF,S2B_MSIL2A_20200621T021609_N0214_R003_T52SBF_20200621T050033|S2B_MSIL2A_20200621T021609_N0214_R003_T52SCF_20200621T050033,52SBF|52SCF,2020-06-21T02:27:33.249000+00:00|2020-06-21T02:27:29.493000+00:00,12737,1251.540193208323,0.098260202026248175,12737,9.4621181883684411,0.0007428843674623884
