weir_name,exact_complete_event,coverage_final,gap_2017_2025_final,resolved
강정고령보,False,False,False,False
강천보,False,False,False,False
공주보,False,False,False,False
구미보,False,False,False,False
낙단보,False,False,False,False
달성보,False,False,False,False
백제보,False,False,False,False
상주보,False,False,False,False
세종보,False,False,False,False
승촌보,False,False,False,False
여주보,False,False,False,False
이포보,False,False,False,False
죽산보,False,False,False,False
창녕함안보,False,False,False,False
칠곡보,False,False,False,False
합천창녕보,False,False,False,False
