weir_name,sampling_year,n_observations,n_zeros,n_positive
강정고령보,2017,51,20,31.0
강정고령보,2018,46,6,40.0
강정고령보,2019,50,8,42.0
강정고령보,2020,49,6,43.0
강정고령보,2021,48,13,35.0
강정고령보,2022,48,14,34.0
강정고령보,2023,48,19,29.0
강정고령보,2024,51,10,41.0
강정고령보,2025,41,10,31.0
강천보,2017,43,43,0.0
강천보,2018,46,43,3.0
강천보,2019,49,45,4.0
강천보,2020,41,41,0.0
강천보,2021,40,40,0.0
강천보,2022,34,34,0.0
강천보,2023,28,28,0.0
강천보,2024,34,34,0.0
강천보,2025,27,27,0.0
공주보,2017,57,37,20.0
공주보,2018,54,38,16.0
공주보,2019,60,51,9.0
공주보,2020,51,42,9.0
공주보,2021,50,38,12.0
공주보,2022,52,37,15.0
공주보,2023,47,31,16.0
공주보,2024,50,28,22.0
공주보,2025,49,28,21.0
구미보,2017,50,11,39.0
구미보,2018,44,4,40.0
구미보,2019,52,15,37.0
구미보,2020,48,14,34.0
구미보,2021,48,11,37.0
구미보,2022,45,15,30.0
구미보,2023,42,12,30.0
구미보,2024,48,15,33.0
구미보,2025,42,10,32.0
낙단보,2017,48,15,33.0
낙단보,2018,46,8,38.0
낙단보,2019,49,16,33.0
낙단보,2020,48,18,30.0
낙단보,2021,44,8,36.0
낙단보,2022,44,15,29.0
낙단보,2023,41,11,30.0
낙단보,2024,45,8,37.0
낙단보,2025,42,8,34.0
달성보,2017,60,17,43.0
달성보,2018,57,10,47.0
달성보,2019,66,10,56.0
달성보,2020,50,4,46.0
달성보,2021,50,10,40.0
달성보,2022,50,20,30.0
달성보,2023,45,12,33.0
달성보,2024,48,10,38.0
달성보,2025,44,11,33.0
백제보,2017,47,24,23.0
백제보,2018,49,33,16.0
백제보,2019,49,42,7.0
백제보,2020,50,39,11.0
백제보,2021,47,38,9.0
백제보,2022,46,26,20.0
백제보,2023,43,30,13.0
백제보,2024,49,32,17.0
백제보,2025,46,19,27.0
상주보,2017,44,14,30.0
상주보,2018,43,8,35.0
상주보,2019,47,19,28.0
상주보,2020,47,22,25.0
상주보,2021,45,14,31.0
상주보,2022,39,12,27.0
상주보,2023,41,17,24.0
상주보,2024,47,25,22.0
상주보,2025,44,12,32.0
세종보,2017,54,42,12.0
세종보,2018,57,42,15.0
세종보,2019,55,52,3.0
세종보,2020,51,41,10.0
세종보,2021,51,41,10.0
세종보,2022,52,38,14.0
세종보,2023,47,30,17.0
세종보,2024,51,35,16.0
세종보,2025,49,20,29.0
승촌보,2017,56,39,17.0
승촌보,2018,56,38,18.0
승촌보,2019,56,42,14.0
승촌보,2020,51,38,13.0
승촌보,2021,50,37,13.0
승촌보,2022,49,33,16.0
승촌보,2023,44,31,13.0
승촌보,2024,51,40,11.0
승촌보,2025,49,33,16.0
여주보,2017,43,43,0.0
여주보,2018,47,44,3.0
여주보,2019,51,48,3.0
여주보,2020,41,41,0.0
여주보,2021,37,36,1.0
여주보,2022,33,33,0.0
여주보,2023,26,26,0.0
여주보,2024,31,31,0.0
여주보,2025,22,22,0.0
이포보,2017,44,44,0.0
이포보,2018,47,44,3.0
이포보,2019,51,48,3.0
이포보,2020,41,39,2.0
이포보,2021,36,36,0.0
이포보,2022,33,33,0.0
이포보,2023,27,27,0.0
이포보,2024,32,32,0.0
이포보,2025,21,21,0.0
죽산보,2017,66,43,23.0
죽산보,2018,59,41,18.0
죽산보,2019,56,38,18.0
죽산보,2020,53,39,14.0
죽산보,2021,49,27,22.0
죽산보,2022,49,23,26.0
죽산보,2023,45,27,18.0
죽산보,2024,51,34,17.0
죽산보,2025,49,35,14.0
창녕함안보,2017,53,14,39.0
창녕함안보,2018,49,7,42.0
창녕함안보,2019,51,6,45.0
창녕함안보,2020,48,2,46.0
창녕함안보,2021,49,2,47.0
창녕함안보,2022,49,10,39.0
창녕함안보,2023,42,8,34.0
창녕함안보,2024,52,5,47.0
창녕함안보,2025,37,10,27.0
칠곡보,2017,49,17,32.0
칠곡보,2018,43,7,36.0
칠곡보,2019,49,17,32.0
칠곡보,2020,49,14,35.0
칠곡보,2021,48,10,38.0
칠곡보,2022,45,16,29.0
칠곡보,2023,43,15,28.0
칠곡보,2024,44,14,30.0
칠곡보,2025,41,13,28.0
합천창녕보,2017,64,19,45.0
합천창녕보,2018,58,10,48.0
합천창녕보,2019,66,5,61.0
합천창녕보,2020,49,4,45.0
합천창녕보,2021,51,12,39.0
합천창녕보,2022,48,16,32.0
합천창녕보,2023,44,17,27.0
합천창녕보,2024,47,9,38.0
합천창녕보,2025,43,13,30.0
