weir_name,sampling_year,sampling_month,n_observations,n_zeros,n_positive
강정고령보,2017,1,5,5,0.0
강정고령보,2017,2,4,4,0.0
강정고령보,2017,3,4,4,0.0
강정고령보,2017,4,4,4,0.0
강정고령보,2017,5,5,3,2.0
강정고령보,2017,6,4,0,4.0
강정고령보,2017,7,5,0,5.0
강정고령보,2017,8,4,0,4.0
강정고령보,2017,9,4,0,4.0
강정고령보,2017,10,4,0,4.0
강정고령보,2017,11,4,0,4.0
강정고령보,2017,12,4,0,4.0
강정고령보,2018,1,3,2,1.0
강정고령보,2018,2,1,1,0.0
강정고령보,2018,3,4,3,1.0
강정고령보,2018,4,5,0,5.0
강정고령보,2018,5,4,0,4.0
강정고령보,2018,6,4,0,4.0
강정고령보,2018,7,4,0,4.0
강정고령보,2018,8,4,0,4.0
강정고령보,2018,9,4,0,4.0
강정고령보,2018,10,5,0,5.0
강정고령보,2018,11,4,0,4.0
강정고령보,2018,12,4,0,4.0
강정고령보,2019,1,3,1,2.0
강정고령보,2019,2,4,1,3.0
강정고령보,2019,3,4,2,2.0
강정고령보,2019,4,5,0,5.0
강정고령보,2019,5,4,0,4.0
강정고령보,2019,6,4,0,4.0
강정고령보,2019,7,5,0,5.0
강정고령보,2019,8,4,0,4.0
강정고령보,2019,9,5,0,5.0
강정고령보,2019,10,4,0,4.0
강정고령보,2019,11,4,1,3.0
강정고령보,2019,12,4,3,1.0
강정고령보,2020,1,4,2,2.0
강정고령보,2020,2,4,2,2.0
강정고령보,2020,3,5,1,4.0
강정고령보,2020,4,4,0,4.0
강정고령보,2020,5,4,1,3.0
강정고령보,2020,6,5,0,5.0
강정고령보,2020,7,3,0,3.0
강정고령보,2020,8,3,0,3.0
강정고령보,2020,9,4,0,4.0
강정고령보,2020,10,4,0,4.0
강정고령보,2020,11,5,0,5.0
강정고령보,2020,12,4,0,4.0
강정고령보,2021,2,4,4,0.0
강정고령보,2021,3,5,5,0.0
강정고령보,2021,4,4,1,3.0
강정고령보,2021,5,5,2,3.0
강정고령보,2021,6,4,0,4.0
강정고령보,2021,7,4,0,4.0
강정고령보,2021,8,5,0,5.0
강정고령보,2021,9,4,0,4.0
강정고령보,2021,10,4,0,4.0
강정고령보,2021,11,5,0,5.0
강정고령보,2021,12,4,1,3.0
강정고령보,2022,1,3,3,0.0
강정고령보,2022,2,4,4,0.0
강정고령보,2022,3,4,3,1.0
강정고령보,2022,4,4,1,3.0
강정고령보,2022,5,5,3,2.0
강정고령보,2022,6,4,0,4.0
강정고령보,2022,7,4,0,4.0
강정고령보,2022,8,4,0,4.0
강정고령보,2022,9,3,0,3.0
강정고령보,2022,10,5,0,5.0
강정고령보,2022,11,4,0,4.0
강정고령보,2022,12,4,0,4.0
강정고령보,2023,1,3,3,0.0
강정고령보,2023,2,4,4,0.0
강정고령보,2023,3,4,4,0.0
강정고령보,2023,4,4,4,0.0
강정고령보,2023,5,5,2,3.0
강정고령보,2023,6,4,0,4.0
강정고령보,2023,7,3,0,3.0
강정고령보,2023,8,4,0,4.0
강정고령보,2023,9,4,0,4.0
강정고령보,2023,10,5,0,5.0
강정고령보,2023,11,4,0,4.0
강정고령보,2023,12,4,2,2.0
강정고령보,2024,1,4,3,1.0
강정고령보,2024,2,4,4,0.0
강정고령보,2024,3,4,1,3.0
강정고령보,2024,4,5,1,4.0
강정고령보,2024,5,4,1,3.0
강정고령보,2024,6,4,0,4.0
강정고령보,2024,7,4,0,4.0
강정고령보,2024,8,4,0,4.0
강정고령보,2024,9,5,0,5.0
강정고령보,2024,10,4,0,4.0
