window,part,calendar_balanced,n,n_weirs,coefficient_log2_tau,cluster_se,ci_low,ci_high,p_two_sided,effect_ratio_per_tau_doubling,effect_percent_per_tau_doubling,converged,iterations,model_status,error_type,error_message,p_holm_primary_family
primary_june_october,occurrence,False,2917,16,,,,,,,,False,,HALTED,ValueError,logit failed to converge,
primary_june_october,positive,False,2090,16,0.27559270488120546,0.13484508678106924,-0.011822794059273112,0.563008203821684,0.05894885674089103,1.3173112203185713,31.73112203185713,True,1.0,FIT,,,
primary_june_october,occurrence,True,705,16,,,,,,,,False,,HALTED,ValueError,logit failed to converge,
primary_june_october,positive,True,551,16,0.2551074984905597,0.13807388801609002,-0.039190027375006764,0.5494050243561261,0.08447418160271461,1.2906003510057653,29.06003510057653,True,1.0,FIT,,,
sensitivity_may_october,occurrence,False,3538,16,0.14675953157066232,0.21917277156551054,-0.3203961727817217,0.6139152359230463,0.5132848018194293,1.158075448960011,15.80754489600109,True,8.0,FIT,,,
sensitivity_may_october,positive,False,2305,16,0.2630973341823051,0.11976104873169173,0.007832701287378563,0.5183619670772316,0.044160005616753886,1.300953340018913,30.095334001891306,True,1.0,FIT,,,
sensitivity_may_october,occurrence,True,846,16,0.1668058957440734,0.22132822347899583,-0.30494404560978483,0.6385558370979316,0.4627212135585581,1.1815249040367253,18.152490403672527,True,8.0,FIT,,,
sensitivity_may_october,positive,True,633,16,0.243800727917602,0.1149848159489652,-0.0012836057830943604,0.48888506161829837,0.05106541247859529,1.276090016036588,27.6090016036588,True,1.0,FIT,,,
sensitivity_july_september,occurrence,False,1718,16,,,,,,,,False,,HALTED,ValueError,logit failed to converge,
sensitivity_july_september,positive,False,1317,16,0.5535286393127308,0.11428385407639363,0.30993837047678185,0.7971189081486797,0.00021480403474150522,1.7393798459310912,73.93798459310912,True,1.0,FIT,,,
sensitivity_july_september,occurrence,True,420,16,,,,,,,,False,,HALTED,ValueError,logit failed to converge,
sensitivity_july_september,positive,True,345,16,0.5443188393978744,0.16491524001293797,0.1928103260164164,0.8958273527793323,0.0048529568025072215,1.723434047093135,72.3434047093135,True,1.0,FIT,,,
sensitivity_annual,occurrence,False,6743,16,0.07245499080094552,0.1747865456110081,-0.3000937124116007,0.44500369401349177,0.6843504857076939,1.0751444136121853,7.514441361218527,True,9.0,FIT,,,
sensitivity_annual,positive,False,3309,16,0.17616041386955317,0.10960044114865465,-0.057447396609897755,0.40976822434900406,0.12883047516229246,1.192629357596952,19.2629357596952,True,1.0,FIT,,,
sensitivity_annual,occurrence,True,1669,16,0.08039825212017815,0.17424467837886512,-0.29099548842666323,0.4517919926670195,0.6511246018014708,1.083718574965065,8.371857496506507,True,9.0,FIT,,,
sensitivity_annual,positive,True,1008,16,0.13681770249300484,0.1068498855453723,-0.09092743749579302,0.3645628424818027,0.2198278441455509,1.1466191036627282,14.661910366272824,True,1.0,FIT,,,
