weir_kr,weir_en,control_name,river,distance_km,treatment_water_pct,control_water_pct,treatment_pre,treatment_post,control_pre,control_post,did,p_value,n_pre,n_post,weak_control,dalseong
이포보,Ipo Weir,Ipo_upstream,Han,18.0,91.5,83.0,0.031105114401443566,0.06867005402237639,0.06208884243115676,0.034102737129984566,0.06555104492210502,0.0005616520992855911,13,13,False,False
여주보,Yeoju Weir,Yeoju_upstream,Han,18.0,84.4,71.3,0.022779009163085596,0.0230153764939622,0.26049333677367004,0.3417873374740606,-0.08105763336951391,0.004246499155471607,13,13,False,False
강천보,Gangcheon Weir,Gangcheon_upstream,Han,17.0,87.6,91.8,0.10474088927136062,0.09905612835238126,0.2605704009554427,0.24278941808851354,0.012096221947949848,0.6998580080029313,13,13,False,False
상주보,Sangju Weir,Sangju_upstream,Nakdong,18.0,75.6,65.4,0.035388517541314904,0.0654630289328851,0.24557318338870512,0.25519875551841026,0.020448939261865112,0.45055065446206227,13,13,False,False
낙단보,Nakdan Weir,Nakdan_upstream,Nakdong,17.0,74.3,79.7,0.02409455004487793,0.061117462359188586,0.03528252243524392,0.05009336504815595,0.02221206970139864,0.25281819946873235,13,13,False,False
구미보,Gumi Weir,Gumi_upstream,Nakdong,16.0,69.0,74.5,0.03582487090871914,0.07883401803302867,0.04426681491726271,0.06808634348716687,0.019189618554405374,0.46632295688366526,13,13,False,False
칠곡보,Chilgok Weir,Chilgok_upstream,Nakdong,16.0,90.4,74.5,0.04322278346780999,-0.014279962060435542,0.09074929443790741,0.059813115799825796,-0.026566566890163894,0.2959464327140994,13,13,False,False
강정고령보,Gangjeong-Goryeong Weir,Gangjeong_upstream,Nakdong,15.0,84.0,88.2,0.08741045410010338,0.006061763159744638,0.07652734673219594,-0.013908163922018619,0.009086819713855806,0.48517504691074137,13,13,False,False
달성보,Dalseong Weir,Dalseong_upstream,Nakdong,8.0,82.2,81.5,0.08657897225718651,0.0037430710468753852,0.0806742943501585,-0.02179112056252182,0.019629513702369195,0.014599487517037865,13,13,True,True
합천창녕보,Hapcheon-Changnyeong Weir,Hapcheon_upstream,Nakdong,16.0,81.9,83.6,0.11271393768856536,0.13666472336674215,0.06593362265750999,0.03420824201219407,0.055676166323492725,0.03607140865656809,13,13,False,False
창녕함안보,Changnyeong-Haman Weir,Changnyeong_upstream,Nakdong,10.0,83.4,89.3,0.14061233498754344,0.14650688649370747,0.00674924675872296,0.023274662753387094,-0.010630864488500064,0.6581553251104996,13,13,False,False
세종보,Sejong Weir,Sejong_upstream,Geum,18.0,44.1,91.1,0.2842035416405419,0.3345545282959702,0.24546400800919502,0.2052494965083502,0.09056549815627309,0.0014099655918121976,13,13,False,False
공주보,Gongju Weir,Gongju_upstream,Geum,10.0,77.4,55.7,0.28996315802174416,0.3099888302523601,0.2842107687838811,0.3333264723512027,-0.029090031336705673,0.06921321091448883,13,13,True,False
백제보,Baekje Weir,Baekje_upstream,Geum,15.0,91.6,87.9,0.10183051263911465,0.08096516273816781,0.1901358138382214,0.22176707818720792,-0.05249661424993343,0.017013569492477752,13,13,False,False
승촌보,Seungchon Weir,Seungchon_upstream,Yeongsan,15.0,81.5,51.6,0.15118578316230885,0.20123038296444468,0.33526078036594037,0.3265049062900796,0.058800473877996584,0.00711026705995165,13,13,True,False
죽산보,Juksan Weir,Juksan_upstream,Yeongsan,12.0,62.0,75.2,0.20876934893282584,0.2852273428294525,0.17519914373944906,0.22569900484968922,0.025958132786386513,0.16793394460788763,13,13,False,False
