variant_id,weir_en,did,p_value,min_pixel_count,n_pre,n_post
V05,Baekje Weir,-0.07092252300626253,0.0030527744956450388,796,13,13
V05,Changnyeong-Haman Weir,-0.03366180359349404,0.19359934501335488,1195,13,13
V05,Chilgok Weir,-0.06298890027364135,0.022215814372316206,775,13,13
V05,Dalseong Weir,0.016525569890787517,0.023610796035135394,4543,13,13
V05,Gangcheon Weir,0.024529672865543473,0.46796193542649267,272,13,13
V05,Gangjeong-Goryeong Weir,-0.004559871986430177,0.748948469051372,3953,13,13
V05,Gongju Weir,0.006246760264611701,0.7148571526553528,97,13,13
V05,Gumi Weir,-0.009414061438071504,0.7293513880574416,491,13,13
V05,Hapcheon-Changnyeong Weir,0.016165919793952294,0.32794277412844947,3117,13,13
V05,Ipo Weir,0.04906111378322573,0.007482380044875522,536,13,13
V05,Juksan Weir,0.02545518159770284,0.24966844419956125,277,13,13
V05,Nakdan Weir,0.017075384182675554,0.38879763437594206,2564,13,13
V05,Sangju Weir,0.06296748587809523,0.02725272670218825,445,13,13
V05,Sejong Weir,0.04871484586233288,0.09801894473932583,41,13,13
V05,Seungchon Weir,0.0930447008938096,0.0015964639819234221,19,13,13
V05,Yeoju Weir,-0.058140627208837836,0.04162626577509367,488,13,13
