step,rows,weirs,years,nonnumeric,weir_days,expected,n_days_min,n_days_max,zero_pos_days,weir_years,total_obs,matched,unmatched,missing,n,cols,max_abs_err,median_abs_err,max_rel_err,corr,max_abs_diff,corr_tau_logdisch,corr_tau_logstor,corr_logstor_logdisch
hydrology_loaded,854604.0,16.0,"[2017, 2025]",,,,,,,,,,,,,,,,,,,,,
hydrology_filtered,262957.0,,,0.0,,,,,,,,,,,,,,,,,,,,
hydrology_pivoted,,,,,52592.0,52592.0,,,,,,,,,,,,,,,,,,
hydro_agg_annual_all_samples,144.0,,,,,,365.0,366.0,0.0,,,,,,,,,,,,,,,
temp_rows_annual_all_samples,6752.0,,,0.0,,,,,,,,,,,,,,,,,,,,
temp_agg_annual_all_samples,,,,,,,,,,144.0,6752.0,,,,,,,,,,,,,
panel_rows_annual_all_samples,144.0,,,,,,,,,,,,,,,,,,,,,,,
join_hydro_annual_all_samples,144.0,,,,,,,,,,,144.0,0.0,,,,,,,,,,,
join_temp_annual_all_samples,144.0,,,,,,,,,,,144.0,0.0,,,,,,,,,,,
missing_annual_all_samples_storage_mcm,,,,,,,,,,,,,,0.0,144.0,,,,,,,,,
missing_annual_all_samples_discharge_cms,,,,,,,,,,,,,,0.0,144.0,,,,,,,,,
missing_annual_all_samples_water_level_m,,,,,,,,,,,,,,0.0,144.0,,,,,,,,,
missing_annual_all_samples_rainfall_mm,,,,,,,,,,,,,,0.0,144.0,,,,,,,,,
missing_annual_all_samples_water_temp_c,,,,,,,,,,,,,,0.0,144.0,,,,,,,,,
missing_annual_all_samples_inflow_cms,,,,,,,,,,,,,,0.0,144.0,,,,,,,,,
hydro_agg_bloom_season_06_10,144.0,,,,,,153.0,153.0,0.0,,,,,,,,,,,,,,,
temp_rows_bloom_season_06_10,6752.0,,,0.0,,,,,,,,,,,,,,,,,,,,
temp_agg_bloom_season_06_10,,,,,,,,,,144.0,2924.0,,,,,,,,,,,,,
panel_rows_bloom_season_06_10,144.0,,,,,,,,,,,,,,,,,,,,,,,
join_hydro_bloom_season_06_10,144.0,,,,,,,,,,,144.0,0.0,,,,,,,,,,,
join_temp_bloom_season_06_10,144.0,,,,,,,,,,,144.0,0.0,,,,,,,,,,,
missing_bloom_season_06_10_storage_mcm,,,,,,,,,,,,,,0.0,144.0,,,,,,,,,
missing_bloom_season_06_10_discharge_cms,,,,,,,,,,,,,,0.0,144.0,,,,,,,,,
missing_bloom_season_06_10_water_level_m,,,,,,,,,,,,,,0.0,144.0,,,,,,,,,
missing_bloom_season_06_10_rainfall_mm,,,,,,,,,,,,,,0.0,144.0,,,,,,,,,
missing_bloom_season_06_10_water_temp_c,,,,,,,,,,,,,,0.0,144.0,,,,,,,,,
missing_bloom_season_06_10_inflow_cms,,,,,,,,,,,,,,0.0,144.0,,,,,,,,,
covariate_panel_written,288.0,,,,,,,,,,,,,,,24.0,,,,,,,,
tau_reproduction_annual,,,,,,,,,,,,,,,144.0,,5.277204482956321e-06,1.1390811864853134e-06,3.7059603221241048e-06,0.9999999999993581,,,,
tau_bloom_vs_submitted_annual,,,,,,,,,,,,,,,144.0,,,,,0.9835205732791918,4.063674746325487,,,
collinearity_annual,,,,,,,,,,,,,,,,,,,,,,-0.3041317844286984,0.7706089672053478,0.3289739762727269
