weir_name,station_code,year,harmful_cyanobacteria_total_mean,harmful_cyanobacteria_total_median,harmful_cyanobacteria_total_max,harmful_cyanobacteria_total_log1p_mean,harmful_cyanobacteria_total_n,first_snapshot_x,first_locator_x,season_scope,chlorophyll_a_mean,chlorophyll_a_median,chlorophyll_a_max,chlorophyll_a_log1p_mean,chlorophyll_a_n,first_snapshot_y,first_locator_y,ndci_mean,fai_mean,ndci_exceedance_share_gt_0p00_descriptive,fai_exceedance_share_gt_0p00_descriptive,weir_code,tau_days,gate0_group,tau_robustness_flag,opened,post_open,late_post,log1p_harmful_cyanobacteria_total_mean,log1p_chlorophyll_a_mean,river
강정고령보,2011A55,2017,5031.21568627451,353.0,69140.0,8.523615660393823,51,Round_6/log/source_snapshots/datagokr_algae_full_2017_2025_20260630_0951/all_2017_01.xml,all_2017_01.xml#item[138],annual_all_samples,12.429411764705884,12.3,29.9,2.597447209479534,51,Round_6/log/source_snapshots/datagokr_algae_full_2017_2025_20260630_0951/all_2017_01.xml,all_2017_01.xml#item[138],0.0184486356183178,-0.0039108212260415,0.5436182069133513,0.2025769794632622,2011602,7.77285,comparison_or_unresolved,robust_candidate_no_low_flow_flag,0,0,0,8.523615660393823,2.597447209479534,낙동강
강정고령보,2011A55,2018,6592.54347826087,316.0,110431.0,8.793846188335495,46,Round_6/log/source_snapshots/datagokr_algae_full_2017_2025_20260630_0951/all_2018_01.xml,all_2018_01.xml#item[133],annual_all_samples,18.41086956521739,12.75,47.2,2.9658331960340756,46,Round_6/log/source_snapshots/datagokr_algae_full_2017_2025_20260630_0951/all_2018_01.xml,all_2018_01.xml#item[133],-0.0165477637011365,-0.0318731688060956,0.2260609448359549,0.0728603859604323,2011602,4.9709,comparison_or_unresolved,robust_candidate_no_low_flow_flag,0,1,0,8.793846188335495,2.9658331960340756,낙동강
강정고령보,2011A55,2019,8257.14,152.0,100017.0,9.018954659559778,50,Round_6/log/source_snapshots/datagokr_algae_full_2017_2025_20260630_0951/all_2019_01.xml,all_2019_01.xml#item[166],annual_all_samples,16.402,14.25,41.9,2.8565851421438326,50,Round_6/log/source_snapshots/datagokr_algae_full_2017_2025_20260630_0951/all_2019_01.xml,all_2019_01.xml#item[166],0.0291832907848067,-0.0019028967351858,0.5593531533506362,0.2778443256070909,2011602,6.71121,comparison_or_unresolved,contains_near_zero_or_nonpositive_discharge,0,1,1,9.018954659559778,2.8565851421438326,낙동강
강정고령보,2011A55,2020,2177.387755102041,549.0,17108.0,7.68634032029254,49,Round_6/log/source_snapshots/datagokr_algae_full_2017_2025_20260630_0951/all_2020_01.xml,all_2020_01.xml#item[161],annual_all_samples,18.32857142857143,14.1,58.8,2.9615843861214293,49,Round_6/log/source_snapshots/datagokr_algae_full_2017_2025_20260630_0951/all_2020_01.xml,all_2020_01.xml#item[161],0.0310811496282302,9.673555900049069e-05,0.6067223473904261,0.3813521028252273,2011602,3.01295,comparison_or_unresolved,robust_candidate_no_low_flow_flag,0,1,1,7.68634032029254,2.9615843861214293,낙동강
강정고령보,2011A55,2021,5127.4375,482.5,89443.0,8.542556310873946,48,Round_6/log/source_snapshots/datagokr_algae_full_2017_2025_20260630_0951/all_2021_02.xml,all_2021_02.xml#item[137],annual_all_samples,19.508333333333333,16.4,49.0,3.0208313076090096,48,Round_6/log/source_snapshots/datagokr_algae_full_2017_2025_20260630_0951/all_2021_02.xml,all_2021_02.xml#item[137],0.0250199701916637,-0.0003285031698471,0.5650550372793843,0.2727663541366269,2011602,5.12046,comparison_or_unresolved,robust_candidate_no_low_flow_flag,0,1,1,8.542556310873946,3.0208313076090096,낙동강
강정고령보,2011A55,2022,13173.604166666666,772.0,114735.0,9.48604632868245,48,Round_6/log/source_snapshots/datagokr_algae_full_2017_2025_20260630_0951/all_2022_01.xml,all_2022_01.xml#item[138],annual_all_samples,17.358333333333334,12.3,65.0,2.910083604020297,48,Round_6/log/source_snapshots/datagokr_algae_full_2017_2025_20260630_0951/all_2022_01.xml,all_2022_01.xml#item[138],0.0348464452599031,0.0034790385328107,0.5836183176034441,0.343548356472146,2011602,8.53453,comparison_or_unresolved,robust_candidate_no_low_flow_flag,0,1,1,9.48604632868245,2.910083604020297,낙동강
강정고령보,2011A55,2023,2984.2083333333335,572.5,42606.0,8.001424816802757,48,Round_6/log/source_snapshots/datagokr_algae_full_2017_2025_20260630_0951/all_2023_01.xml,all_2023_01.xml#item[137],annual_all_samples,14.227083333333333,9.75,73.0,2.723075640578455,48,Round_6/log/source_snapshots/datagokr_algae_full_2017_2025_20260630_0951/all_2023_01.xml,all_2023_01.xml#item[137],0.0195264784362468,-0.0077638652508211,0.497617103739266,0.2639155341568453,2011602,2.77411,comparison_or_unresolved,mean_daily_tau_sensitive_to_low_flow,0,1,1,8.001424816802757,2.723075640578455,낙동강
강정고령보,2011A55,2024,27389.41176470588,670.0,954667.0,10.217948295539738,51,Round_6/log/source_snapshots/datagokr_algae_full_2017_2025_20260630_0951/all_2024_01.xml,all_2024_01.xml#item[135],annual_all_samples,24.41568627450981,17.5,166.1,3.23536655326929,51,Round_6/log/source_snapshots/datagokr_algae_full_2017_2025_20260630_0951/all_2024_01.xml,all_2024_01.xml#item[135],0.0533668627914494,-0.0017589708432633,0.6037963371180031,0.2826052925791987,2011602,3.75312,comparison_or_unresolved,robust_candidate_no_low_flow_flag,0,1,1,10.217948295539738,3.23536655326929,낙동강
강정고령보,2011A55,2025,11558.146341463416,522.0,145507.0,9.355232293605455,41,Round_6/log/source_snapshots/datagokr_algae_full_2017_2025_20260630_0951/all_2025_01.xml,all_2025_01.xml#item[169],annual_all_samples,18.73658536585366,17.7,42.7,2.9824740385892827,41,Round_6/log/source_snapshots/datagokr_algae_full_2017_2025_20260630_0951/all_2025_01.xml,all_2025_01.xml#item[169],0.0428825706375035,0.0046935064510642,0.6439773715650988,0.3105842744537447,2011602,5.60647,comparison_or_unresolved,robust_candidate_no_low_flow_flag,0,1,1,9.355232293605455,2.9824740385892827,낙동강
강천보,1007A20,2017,0.0,0.0,0.0,0.0,43,Round_6/log/source_snapshots/datagokr_algae_full_2017_2025_20260630_0951/all_2017_01.xml,all_2017_01.xml#item[108],annual_all_samples,6.667441860465116,5.3,19.2,2.036983034384123,43,Round_6/log/source_snapshots/datagokr_algae_full_2017_2025_20260630_0951/all_2017_01.xml,all_2017_01.xml#item[108],-0.0788111047708267,-0.005867886357397,0.153572489904045,0.1105586326266683,1007601,0.606912,stayed_closed_or_source_summary_examples,robust_candidate_no_low_flow_flag,0,0,0,0.0,2.036983034384123,한강(남한강)
