model_family,season_scope,season_label,outcome,outcome_label,beta_log1p_tau,cluster_se,cluster_ci_low,cluster_ci_high,cluster_p_two_sided,secondary_ci_method,secondary_ci_low,secondary_ci_high,wild_p_beta_le_0,n_bootstrap,ri_p_right_positive_tau,n_permutations,n,n_weirs,n_years,fixed_effects,cluster
z_standardized_log1p_outcome,annual_all_samples,Annual,cyano,Harmful cyanobacteria (log1p mean),0.6874057079174496,0.10993063831803682,0.4530940988313739,0.9217173170035253,1.5468728676653052e-05,weir wild bootstrap,0.5015993762651912,0.8730006433253537,0.0002,4999,0.0002,4999,144,16,9,weir + year,weir
both_log_raw_log1p_outcome,annual_all_samples,Annual,cyano,Harmful cyanobacteria (log1p mean),2.1406134353772766,0.34232913493853084,1.4109561562806738,2.8702707144738793,1.5468728676652527e-05,weir wild bootstrap,1.5375160327094992,2.7226538760653947,0.0002,4999,0.0002,4999,144,16,9,weir + year,weir
z_standardized_log1p_outcome_basin_year_robustness,annual_all_samples,Annual,cyano,Harmful cyanobacteria (log1p mean),0.3731748940250119,0.32225257248493916,-0.31369020515348045,1.0600399932035043,0.26496235192326306,weir wild bootstrap,-0.1141218906836447,0.8496594810523447,0.0678,4999,0.0002,4999,144,16,9,weir + basin-by-year,weir
z_standardized_log1p_outcome,annual_all_samples,Annual,chlorophyll_a,Chlorophyll-a (log1p mean),0.14757774021651276,0.20379604413696079,-0.28680324544609237,0.5819587258791179,0.480119988534515,weir wild bootstrap,-0.20538224886715026,0.5011491241727116,0.2162,4999,0.0028,4999,144,16,9,weir + year,weir
both_log_raw_log1p_outcome,annual_all_samples,Annual,chlorophyll_a,Chlorophyll-a (log1p mean),0.0835492235799066,0.11537648720815892,-0.16236993764820704,0.3294683848080202,0.4801199885345158,weir wild bootstrap,-0.10896337416229102,0.2840401900709528,0.2076,4999,0.0034,4999,144,16,9,weir + year,weir
z_standardized_log1p_outcome,bloom_season_06_10,Bloom season (Jun-Oct),cyano,Harmful cyanobacteria (log1p mean),0.6186412520414742,0.0,,,,weir wild bootstrap,0.43401530684696354,0.8090957193512813,0.0002,4999,0.0002,4999,144,16,9,weir + year,weir
both_log_raw_log1p_outcome,bloom_season_06_10,Bloom season (Jun-Oct),cyano,Harmful cyanobacteria (log1p mean),2.0967118308262944,0.0,,,,weir wild bootstrap,1.4738533238994398,2.7369113387009727,0.0002,4999,0.0002,4999,144,16,9,weir + year,weir
z_standardized_log1p_outcome_basin_year_robustness,bloom_season_06_10,Bloom season (Jun-Oct),cyano,Harmful cyanobacteria (log1p mean),0.4375910866654332,0.0,,,,weir wild bootstrap,0.009169250643681695,0.8502466558309121,0.023,4999,0.0002,4999,144,16,9,weir + basin-by-year,weir
z_standardized_log1p_outcome,bloom_season_06_10,Bloom season (Jun-Oct),chlorophyll_a,Chlorophyll-a (log1p mean),0.3216193241323556,0.0,,,,weir wild bootstrap,-0.026012316809318668,0.6784509074890247,0.0368,4999,0.0002,4999,144,16,9,weir + year,weir
both_log_raw_log1p_outcome,bloom_season_06_10,Bloom season (Jun-Oct),chlorophyll_a,Chlorophyll-a (log1p mean),0.19451819152471017,0.0,,,,weir wild bootstrap,-0.020298934112603452,0.40782575520730263,0.04,4999,0.0004,4999,144,16,9,weir + year,weir
