protocol_id,run_id,season_scope,season_role,model_id,estimand_id,estimate,se_method,se,ci_method,ci_low,ci_high,test_null,test_sidedness,p_raw,p_holm,inference_role,n_original,n_stacked,n_weirs,n_years,fixed_effects,cluster,resampling_method,n_resamples,source_artifact,status
P2a_M1_v1,20260815T042826Z_c2ac8933,annual_all_samples,primary_confirmatory,legacy_separate_cyano,beta_cyano_legacy_separate_twfe,0.6874057079174496,legacy_CR1_weir,0.1099306383180368,legacy_weir_wild_bootstrap,0.5015993762651912,0.8730006433253537,beta=0,one_sided_right_historical,0.0002,,historical_reproduction,144,,16,9,endpoint-specific separate weir + year,weir_name,historical_tau_permutation_within_year,4999,source-root/revision_1/03_analysis/output/P2a_M1/runs/20260815T042826Z_c2ac8933/legacy/standardized_tau_models.csv,reproduced
P2a_M1_v1,20260815T042826Z_c2ac8933,annual_all_samples,primary_confirmatory,legacy_separate_chlorophyll,beta_chlorophyll_a_legacy_separate_twfe,0.1475777402165127,legacy_CR1_weir,0.2037960441369607,legacy_weir_wild_bootstrap,-0.2053822488671502,0.5011491241727116,beta=0,one_sided_right_historical,0.0028,,historical_reproduction,144,,16,9,endpoint-specific separate weir + year,weir_name,historical_tau_permutation_within_year,4999,source-root/revision_1/03_analysis/output/P2a_M1/runs/20260815T042826Z_c2ac8933/legacy/standardized_tau_models.csv,reproduced
P2a_M1_v1,20260815T042826Z_c2ac8933,annual_all_samples,primary_confirmatory,legacy_common_fe_stacked,delta_common_interaction,0.887440253669714,legacy_CR1_weir,0.1792907058011252,legacy_CR1_t15,0.5052911602668142,1.2695893470726138,delta_common=0,one_sided_right_historical_RI,0.0002,,historical_reproduction_changed_estimand,144,288.0,16,9,common weir + year across endpoints,weir_name,historical_tau_permutation_within_year,4999,source-root/revision_1/03_analysis/output/P2a_M1/runs/20260815T042826Z_c2ac8933/legacy/specificity_interaction.csv,reproduced
P2a_M1_v1,20260815T042826Z_c2ac8933,bloom_season_06_10,secondary_prespecified,legacy_separate_cyano,beta_cyano_legacy_separate_twfe,0.6186412520414742,legacy_CR1_weir,0.0,legacy_weir_wild_bootstrap,0.4340153068469635,0.8090957193512813,beta=0,one_sided_right_historical,0.0002,,historical_reproduction,144,,16,9,endpoint-specific separate weir + year,weir_name,historical_tau_permutation_within_year,4999,source-root/revision_1/03_analysis/output/P2a_M1/runs/20260815T042826Z_c2ac8933/legacy/standardized_tau_models.csv,reproduced
P2a_M1_v1,20260815T042826Z_c2ac8933,bloom_season_06_10,secondary_prespecified,legacy_separate_chlorophyll,beta_chlorophyll_a_legacy_separate_twfe,0.3216193241323556,legacy_CR1_weir,0.0,legacy_weir_wild_bootstrap,-0.0260123168093186,0.6784509074890247,beta=0,one_sided_right_historical,0.0002,,historical_reproduction,144,,16,9,endpoint-specific separate weir + year,weir_name,historical_tau_permutation_within_year,4999,source-root/revision_1/03_analysis/output/P2a_M1/runs/20260815T042826Z_c2ac8933/legacy/standardized_tau_models.csv,reproduced
P2a_M1_v1,20260815T042826Z_c2ac8933,bloom_season_06_10,secondary_prespecified,legacy_common_fe_stacked,delta_common_interaction,1.0350637385933137,legacy_CR1_weir,0.1518729808953251,legacy_CR1_t15,0.7113541424811642,1.358773334705463,delta_common=0,one_sided_right_historical_RI,0.0002,,historical_reproduction_changed_estimand,144,288.0,16,9,common weir + year across endpoints,weir_name,historical_tau_permutation_within_year,4999,source-root/revision_1/03_analysis/output/P2a_M1/runs/20260815T042826Z_c2ac8933/legacy/specificity_interaction.csv,reproduced
P2a_M1_v1,20260815T042826Z_c2ac8933,annual_all_samples,primary_confirmatory,primary_endpoint_specific_fe_stacked,delta_endpoint_specific_beta_cyano_minus_chlorophyll,0.5398279677009374,unified_CR1_weir_diagnostic,0.21299485427435222,paired_weir_cluster_bootstrap_percentile,0.1650866395325693,0.9223702608560678,delta_ES=0,two_sided,0.0129852294921875,0.025970458984375,primary_direct_comparison,144,288.0,16,9,endpoint-specific weir + endpoint-specific year,weir_name,exhaustive_restricted_WCR_Rademacher,65536,source-root/revision_1/03_analysis/output/P2a_M1/runs/20260815T042826Z_c2ac8933/endpoint_specific_contrasts.csv,positive_and_holm_supported
P2a_M1_v1,20260815T042826Z_c2ac8933,annual_all_samples,primary_confirmatory,paired_separate_joint_contrast,delta_endpoint_specific_beta_cyano_minus_chlorophyll,0.5398279677009374,unified_CR1_weir_diagnostic,0.21299485427435222,paired_weir_cluster_bootstrap_percentile,0.1650866395325693,0.9223702608560678,delta_ES=0,two_sided,0.0129852294921875,0.025970458984375,paired_separate_point_estimates_with_unified_joint_test,144,288.0,16,9,endpoint-specific weir + endpoint-specific year,weir_name,exhaustive_restricted_WCR_Rademacher,65536,source-root/revision_1/03_analysis/output/P2a_M1/runs/20260815T042826Z_c2ac8933/endpoint_specific_contrasts.csv,positive_and_holm_supported
P2a_M1_v1,20260815T042826Z_c2ac8933,bloom_season_06_10,secondary_prespecified,primary_endpoint_specific_fe_stacked,delta_endpoint_specific_beta_cyano_minus_chlorophyll,0.29702192790911724,unified_CR1_weir_diagnostic,0.23522341930193152,paired_weir_cluster_bootstrap_percentile,-0.14833127594248327,0.7542461260393246,delta_ES=0,two_sided,0.2067108154296875,0.2067108154296875,primary_direct_comparison,144,288.0,16,9,endpoint-specific weir + endpoint-specific year,weir_name,exhaustive_restricted_WCR_Rademacher,65536,source-root/revision_1/03_analysis/output/P2a_M1/runs/20260815T042826Z_c2ac8933/endpoint_specific_contrasts.csv,positive_but_not_holm_supported
P2a_M1_v1,20260815T042826Z_c2ac8933,bloom_season_06_10,secondary_prespecified,paired_separate_joint_contrast,delta_endpoint_specific_beta_cyano_minus_chlorophyll,0.29702192790911724,unified_CR1_weir_diagnostic,0.23522341930193152,paired_weir_cluster_bootstrap_percentile,-0.14833127594248327,0.7542461260393246,delta_ES=0,two_sided,0.2067108154296875,0.2067108154296875,paired_separate_point_estimates_with_unified_joint_test,144,288.0,16,9,endpoint-specific weir + endpoint-specific year,weir_name,exhaustive_restricted_WCR_Rademacher,65536,source-root/revision_1/03_analysis/output/P2a_M1/runs/20260815T042826Z_c2ac8933/endpoint_specific_contrasts.csv,positive_but_not_holm_supported
