window,specification,aggregation,n_rows_chla,n_rows_cyano,n_weirs_chla,n_weirs_cyano,n_common_weirs,r_chla_full,r_cyano_full,r_chla_common,r_cyano_common,delta_r,delta_ci_low,delta_ci_high,interval_excludes_zero,positive_delta,support_status,p_method,global_endpoint_conclusion
pm1_2017_2025,raw_within_weir_pearson,equal_per_observation,756,756,16,13,13,0.4410230721463701,0.35625384909050334,0.42965746125809862,0.35625384909050334,0.073403612167595278,-0.011605471751837439,0.16643815624344621,False,True,estimable,not_computed_ci_primary,not_robust
pm1_2017_2025,raw_within_weir_pearson,equal_per_weir_fisher_z,756,756,16,13,13,0.48193814107339994,0.3780256704353146,0.45123313143356825,0.3780256704353146,0.073207460998253648,-0.02523351798372089,0.20148372462772801,False,True,estimable,not_computed_ci_primary,not_robust
pm1_2017_2025,site_by_calendar_month_pearson,equal_per_observation,756,756,16,13,13,0.41512601732339677,0.15134820795280401,0.4246265875604624,0.15134820795280401,0.27327837960765838,0.16003314420930026,0.3897601290000885,True,True,estimable,not_computed_ci_primary,not_robust
pm1_2017_2025,site_by_calendar_month_pearson,equal_per_weir_fisher_z,756,756,16,13,13,0.38941531791230466,0.18940351140876194,0.4303910106359195,0.18940351140876194,0.24098749922715756,0.13485808481289152,0.35986396897751066,True,True,estimable,not_computed_ci_primary,not_robust
pm1_2017_2025,within_weir_percentile_midrank,equal_per_observation,756,756,16,13,13,0.48069811515982686,0.43250934531411239,0.47218963030615219,0.43250934531411239,0.039680284992039794,-0.030927119332849907,0.12623780738597631,False,True,estimable,not_computed_ci_primary,not_robust
pm1_2017_2025,within_weir_percentile_midrank,equal_per_weir_fisher_z,756,756,16,13,13,0.49749035095137772,0.42336081012084448,0.47064906030764497,0.42336081012084448,0.047288250186800496,-0.035498078634394491,0.15043884889150669,False,True,estimable,not_computed_ci_primary,not_robust
pm1_2019_2025,raw_within_weir_pearson,equal_per_observation,680,680,16,13,13,0.45441975277316232,0.32962918043765699,0.44359561253842439,0.32962918043765699,0.1139664321007674,-0.0035000102704751727,0.23889321691619744,False,True,estimable,not_computed_ci_primary,not_robust
pm1_2019_2025,raw_within_weir_pearson,equal_per_weir_fisher_z,680,680,16,13,13,0.49644033130743725,0.35578082603241168,0.46082437871073278,0.35578082603241168,0.10504355267832111,-0.018445147910926538,0.27584575792823646,False,True,estimable,not_computed_ci_primary,not_robust
pm1_2019_2025,site_by_calendar_month_pearson,equal_per_observation,680,680,16,13,13,0.43835294533022107,0.13606519691059435,0.44534131777078118,0.13606519691059435,0.30927612086018685,0.16443931962982172,0.46078756615568767,True,True,estimable,not_computed_ci_primary,not_robust
pm1_2019_2025,site_by_calendar_month_pearson,equal_per_weir_fisher_z,680,680,16,13,13,0.42817292238881222,0.17774401160149197,0.45664462026855501,0.17774401160149197,0.27890060866706301,0.15145573087330261,0.41955185360334613,True,True,estimable,not_computed_ci_primary,not_robust
