window,specification,aggregation,index,endpoint,omitted_weir,association,estimable,n_estimable_weirs,n_common_weirs,common_support_association,paired_delta_chla_minus_cyano,is_endpoint_contrast
pm1_2017_2025,raw_within_weir_pearson,equal_per_weir_fisher_z,ndci,chlorophyll_a,Baekje Weir,0.48737459549916612,True,15,12,0.4556898564755088,0.064156352968708086,True
pm1_2017_2025,raw_within_weir_pearson,equal_per_weir_fisher_z,ndci,harmful_cyanobacteria,Baekje Weir,0.39153350350680072,True,12,12,0.39153350350680072,0.064156352968708086,True
pm1_2017_2025,raw_within_weir_pearson,equal_per_weir_fisher_z,ndci,chlorophyll_a,Changnyeong-Haman Weir,0.47258097282328415,True,15,12,0.43644376930818879,0.089397247160487581,True
pm1_2017_2025,raw_within_weir_pearson,equal_per_weir_fisher_z,ndci,harmful_cyanobacteria,Changnyeong-Haman Weir,0.34704652214770121,True,12,12,0.34704652214770121,0.089397247160487581,True
pm1_2017_2025,raw_within_weir_pearson,equal_per_weir_fisher_z,ndci,chlorophyll_a,Chilgok Weir,0.48289953529564983,True,15,12,0.44987404169177814,0.081050019914172822,True
pm1_2017_2025,raw_within_weir_pearson,equal_per_weir_fisher_z,ndci,harmful_cyanobacteria,Chilgok Weir,0.36882402177760532,True,12,12,0.36882402177760532,0.081050019914172822,True
pm1_2017_2025,raw_within_weir_pearson,equal_per_weir_fisher_z,ndci,chlorophyll_a,Dalseong Weir,0.47503944901186756,True,15,12,0.43964609723534359,0.091167723064430772,True
pm1_2017_2025,raw_within_weir_pearson,equal_per_weir_fisher_z,ndci,harmful_cyanobacteria,Dalseong Weir,0.34847837417091282,True,12,12,0.34847837417091282,0.091167723064430772,True
pm1_2017_2025,raw_within_weir_pearson,equal_per_weir_fisher_z,ndci,chlorophyll_a,Gangcheon Weir,0.47480270089717785,True,15,13,0.45123313143356825,0.073207460998253648,True
pm1_2017_2025,raw_within_weir_pearson,equal_per_weir_fisher_z,ndci,harmful_cyanobacteria,Gangcheon Weir,0.3780256704353146,True,13,13,0.3780256704353146,0.073207460998253648,True
pm1_2017_2025,raw_within_weir_pearson,equal_per_weir_fisher_z,ndci,chlorophyll_a,Gangjeong-Goryeong Weir,0.46883691848191245,True,15,12,0.43156405968456618,0.074132480406593371,True
pm1_2017_2025,raw_within_weir_pearson,equal_per_weir_fisher_z,ndci,harmful_cyanobacteria,Gangjeong-Goryeong Weir,0.35743157927797281,True,12,12,0.35743157927797281,0.074132480406593371,True
pm1_2017_2025,raw_within_weir_pearson,equal_per_weir_fisher_z,ndci,chlorophyll_a,Gongju Weir,0.4955380923333782,True,15,12,0.46628457540122853,0.058657017147937973,True
pm1_2017_2025,raw_within_weir_pearson,equal_per_weir_fisher_z,ndci,harmful_cyanobacteria,Gongju Weir,0.40762755825329056,True,12,12,0.40762755825329056,0.058657017147937973,True
pm1_2017_2025,raw_within_weir_pearson,equal_per_weir_fisher_z,ndci,chlorophyll_a,Gumi Weir,0.49454679912378224,True,15,12,0.46499909933081895,0.074243897946334181,True
pm1_2017_2025,raw_within_weir_pearson,equal_per_weir_fisher_z,ndci,harmful_cyanobacteria,Gumi Weir,0.39075520138448477,True,12,12,0.39075520138448477,0.074243897946334181,True
pm1_2017_2025,raw_within_weir_pearson,equal_per_weir_fisher_z,ndci,chlorophyll_a,Hapcheon-Changnyeong Weir,0.48006152713372041,True,15,12,0.44618294003332454,0.072773920116146529,True
pm1_2017_2025,raw_within_weir_pearson,equal_per_weir_fisher_z,ndci,harmful_cyanobacteria,Hapcheon-Changnyeong Weir,0.37340901991717801,True,12,12,0.37340901991717801,0.072773920116146529,True
pm1_2017_2025,raw_within_weir_pearson,equal_per_weir_fisher_z,ndci,chlorophyll_a,Ipo Weir,0.46522516316904744,True,15,13,0.45123313143356825,0.073207460998253648,True
pm1_2017_2025,raw_within_weir_pearson,equal_per_weir_fisher_z,ndci,harmful_cyanobacteria,Ipo Weir,0.3780256704353146,True,13,13,0.3780256704353146,0.073207460998253648,True
pm1_2017_2025,raw_within_weir_pearson,equal_per_weir_fisher_z,ndci,chlorophyll_a,Juksan Weir,0.49330783987569071,True,15,12,0.46339204715405069,0.099848872443971726,True
pm1_2017_2025,raw_within_weir_pearson,equal_per_weir_fisher_z,ndci,harmful_cyanobacteria,Juksan Weir,0.36354317471007896,True,12,12,0.36354317471007896,0.099848872443971726,True
pm1_2017_2025,raw_within_weir_pearson,equal_per_weir_fisher_z,ndci,chlorophyll_a,Nakdan Weir,0.48733180982114555,True,15,12,0.45563427817859004,0.06574079542179595,True
pm1_2017_2025,raw_within_weir_pearson,equal_per_weir_fisher_z,ndci,harmful_cyanobacteria,Nakdan Weir,0.38989348275679409,True,12,12,0.38989348275679409,0.06574079542179595,True
pm1_2017_2025,raw_within_weir_pearson,equal_per_weir_fisher_z,ndci,chlorophyll_a,Sangju Weir,0.48671609975966063,True,15,12,0.45483441841909661,0.079849478395450701,True
pm1_2017_2025,raw_within_weir_pearson,equal_per_weir_fisher_z,ndci,harmful_cyanobacteria,Sangju Weir,0.37498494002364591,True,12,12,0.37498494002364591,0.079849478395450701,True
pm1_2017_2025,raw_within_weir_pearson,equal_per_weir_fisher_z,ndci,chlorophyll_a,Sejong Weir,0.4748223648541543,True,15,12,0.43936339121867363,0.025519047989052634,True
pm1_2017_2025,raw_within_weir_pearson,equal_per_weir_fisher_z,ndci,harmful_cyanobacteria,Sejong Weir,0.41384434322962099,True,12,12,0.41384434322962099,0.025519047989052634,True
pm1_2017_2025,raw_within_weir_pearson,equal_per_weir_fisher_z,ndci,chlorophyll_a,Seungchon Weir,0.49162319968200691,True,15,12,0.46120617814609005,0.07657820268704052,True
pm1_2017_2025,raw_within_weir_pearson,equal_per_weir_fisher_z,ndci,harmful_cyanobacteria,Seungchon Weir,0.38462797545904953,True,12,12,0.38462797545904953,0.07657820268704052,True
