window,specification,aggregation,index,endpoint,association,common_support_association,paired_delta_chla_minus_cyano,n_rows,n_estimable_weirs,n_common_weirs,n_cells,singleton_cells,cells_le_2,median_cell_size,full_ci_low,full_ci_high,full_finite_draws,common_ci_low,common_ci_high,common_finite_draws,delta_ci_low,delta_ci_high,delta_finite_draws,bootstrap_draws,bootstrap_seed,p_method
pm1_2017_2025,raw_within_weir_pearson,equal_per_weir_fisher_z,ndci,chlorophyll_a,0.48193814107339994,0.45123313143356825,0.073207460998253648,756,16,13,102,10,17,7,0.41149658074771134,0.54699573829926351,3000,0.37349947715300758,0.52193005595293807,3000,-0.02523351798372089,0.20148372462772801,3000,3000,20260815,not_computed_ci_primary
pm1_2017_2025,raw_within_weir_pearson,equal_per_weir_fisher_z,ndci,harmful_cyanobacteria,0.3780256704353146,0.3780256704353146,0.073207460998253648,756,13,13,102,10,17,7,0.23713175123528171,0.49757116714135219,3000,0.23377809832113536,0.49849932458191443,3000,-0.02523351798372089,0.20148372462772801,3000,3000,20260815,not_computed_ci_primary
pm1_2017_2025,raw_within_weir_pearson,equal_per_weir_fisher_z,fai,chlorophyll_a,0.22835668853652449,0.21743285588597983,0.020668953940901347,756,16,13,102,10,17,7,0.14690585549678739,0.31107960634692583,3000,0.11690425834387368,0.3203939049280472,3000,-0.14285029424582857,0.21394778654848448,3000,3000,20260815,not_computed_ci_primary
pm1_2017_2025,raw_within_weir_pearson,equal_per_weir_fisher_z,fai,harmful_cyanobacteria,0.19676390194507848,0.19676390194507848,0.020668953940901347,756,13,13,102,10,17,7,0.070182603660062737,0.32353796468326673,3000,0.07003336817211453,0.31809295098056772,3000,-0.14285029424582857,0.21394778654848448,3000,3000,20260815,not_computed_ci_primary
pm1_2017_2025,raw_within_weir_pearson,equal_per_observation,ndci,chlorophyll_a,0.4410230721463701,0.42965746125809862,0.073403612167595278,756,16,13,102,10,17,7,0.37683524628571047,0.51013623160239252,3000,0.36198884664259068,0.49541660139791993,3000,-0.011605471751837439,0.16643815624344621,3000,3000,20260815,not_computed_ci_primary
pm1_2017_2025,raw_within_weir_pearson,equal_per_observation,ndci,harmful_cyanobacteria,0.35625384909050334,0.35625384909050334,0.073403612167595278,756,13,13,102,10,17,7,0.24259618086290735,0.46784038326252464,3000,0.23902328520163443,0.4662598433310251,3000,-0.011605471751837439,0.16643815624344621,3000,3000,20260815,not_computed_ci_primary
pm1_2017_2025,raw_within_weir_pearson,equal_per_observation,fai,chlorophyll_a,0.17601425829057601,0.17752070487728197,-0.017253078413511896,756,16,13,102,10,17,7,0.10913910149692148,0.26926616453072072,3000,0.10431413156704825,0.27074182317070222,3000,-0.14374075573847425,0.15229860924350541,3000,3000,20260815,not_computed_ci_primary
pm1_2017_2025,raw_within_weir_pearson,equal_per_observation,fai,harmful_cyanobacteria,0.19477378329079387,0.19477378329079387,-0.017253078413511896,756,13,13,102,10,17,7,0.075924464052069873,0.29778574014039333,3000,0.083228381223192538,0.30279477631764146,3000,-0.14374075573847425,0.15229860924350541,3000,3000,20260815,not_computed_ci_primary
pm1_2017_2025,within_weir_percentile_midrank,equal_per_weir_fisher_z,ndci,chlorophyll_a,0.49749035095137772,0.47064906030764497,0.047288250186800496,756,16,13,102,10,17,7,0.43126558187559316,0.56220250614257639,3000,0.401464967295321,0.53741178759174824,3000,-0.035498078634394491,0.15043884889150669,3000,3000,20260815,not_computed_ci_primary
pm1_2017_2025,within_weir_percentile_midrank,equal_per_weir_fisher_z,ndci,harmful_cyanobacteria,0.42336081012084448,0.42336081012084448,0.047288250186800496,756,13,13,102,10,17,7,0.29122701659048589,0.53253657679430699,3000,0.2923271482793498,0.53449857469873563,3000,-0.035498078634394491,0.15043884889150669,3000,3000,20260815,not_computed_ci_primary
pm1_2017_2025,within_weir_percentile_midrank,equal_per_weir_fisher_z,fai,chlorophyll_a,0.22161973515248529,0.22615944673174773,-0.03636569083037447,756,16,13,102,10,17,7,0.13402032630239738,0.31142284867598269,3000,0.12099722958280933,0.33065486241797581,3000,-0.20683638199914769,0.17987172689895339,3000,3000,20260815,not_computed_ci_primary
pm1_2017_2025,within_weir_percentile_midrank,equal_per_weir_fisher_z,fai,harmful_cyanobacteria,0.2625251375621222,0.2625251375621222,-0.03636569083037447,756,13,13,102,10,17,7,0.12964744684892959,0.3750131376592501,3000,0.12686418481367404,0.37888052705197933,3000,-0.20683638199914769,0.17987172689895339,3000,3000,20260815,not_computed_ci_primary
pm1_2017_2025,within_weir_percentile_midrank,equal_per_observation,ndci,chlorophyll_a,0.48069811515982686,0.47218963030615219,0.039680284992039794,756,16,13,102,10,17,7,0.42111542914981792,0.53858933518526608,3000,0.41055277514425076,0.53137083766685844,3000,-0.030927119332849907,0.12623780738597631,3000,3000,20260815,not_computed_ci_primary
pm1_2017_2025,within_weir_percentile_midrank,equal_per_observation,ndci,harmful_cyanobacteria,0.43250934531411239,0.43250934531411239,0.039680284992039794,756,13,13,102,10,17,7,0.31335909741298623,0.53412085347989968,3000,0.31668595297011054,0.53719176241306255,3000,-0.030927119332849907,0.12623780738597631,3000,3000,20260815,not_computed_ci_primary
pm1_2017_2025,within_weir_percentile_midrank,equal_per_observation,fai,chlorophyll_a,0.19428608496220429,0.19398421537251601,-0.07328236700519461,756,16,13,102,10,17,7,0.11819237808094607,0.28001275818788862,3000,0.11352505312749206,0.28813561420583211,3000,-0.21341863279841847,0.10550308095835834,3000,3000,20260815,not_computed_ci_primary
pm1_2017_2025,within_weir_percentile_midrank,equal_per_observation,fai,harmful_cyanobacteria,0.26726658237771062,0.26726658237771062,-0.07328236700519461,756,13,13,102,10,17,7,0.16058069013339582,0.35470603364687225,3000,0.15907864363443563,0.35531298292278252,3000,-0.21341863279841847,0.10550308095835834,3000,3000,20260815,not_computed_ci_primary
pm1_2017_2025,site_by_calendar_month_pearson,equal_per_weir_fisher_z,ndci,chlorophyll_a,0.38941531791230466,0.4303910106359195,0.24098749922715756,756,16,13,102,10,17,7,0.30218610990361461,0.46239121686896273,3000,0.34943232117783507,0.49888573593143609,3000,0.13485808481289152,0.35986396897751066,3000,3000,20260815,not_computed_ci_primary
pm1_2017_2025,site_by_calendar_month_pearson,equal_per_weir_fisher_z,ndci,harmful_cyanobacteria,0.18940351140876194,0.18940351140876194,0.24098749922715756,756,13,13,102,10,17,7,0.05406409271784237,0.31568333542818044,3000,0.055805213291558652,0.31557908622332537,3000,0.13485808481289152,0.35986396897751066,3000,3000,20260815,not_computed_ci_primary
pm1_2017_2025,site_by_calendar_month_pearson,equal_per_weir_fisher_z,fai,chlorophyll_a,0.18201035027082002,0.2219873208105394,0.084686642795577166,756,16,13,102,10,17,7,0.11367457593718776,0.24502005315598716,3000,0.1620867870749815,0.27841060219391822,3000,-0.031125256428664066,0.21147318819319844,3000,3000,20260815,not_computed_ci_primary
pm1_2017_2025,site_by_calendar_month_pearson,equal_per_weir_fisher_z,fai,harmful_cyanobacteria,0.13730067801496224,0.13730067801496224,0.084686642795577166,756,13,13,102,10,17,7,0.03865804749315141,0.22777198481166919,3000,0.039015563385243493,0.22962804586664631,3000,-0.031125256428664066,0.21147318819319844,3000,3000,20260815,not_computed_ci_primary
pm1_2017_2025,site_by_calendar_month_pearson,equal_per_observation,ndci,chlorophyll_a,0.41512601732339677,0.4246265875604624,0.27327837960765838,756,16,13,102,10,17,7,0.33412079950325257,0.47821191706411453,3000,0.34738347931055125,0.48923769594777156,3000,0.16003314420930026,0.3897601290000885,3000,3000,20260815,not_computed_ci_primary
pm1_2017_2025,site_by_calendar_month_pearson,equal_per_observation,ndci,harmful_cyanobacteria,0.15134820795280401,0.15134820795280401,0.27327837960765838,756,13,13,102,10,17,7,0.047680589224753031,0.2718526922512518,3000,0.044249262223674167,0.27451161478510766,3000,0.16003314420930026,0.3897601290000885,3000,3000,20260815,not_computed_ci_primary
pm1_2017_2025,site_by_calendar_month_pearson,equal_per_observation,fai,chlorophyll_a,0.18678669455719765,0.19203102889212223,0.06909628979545461,756,16,13,102,10,17,7,0.13449794122582448,0.25878240218897186,3000,0.14057063720378826,0.26388136739815171,3000,-0.039900659880165341,0.19597350760054355,3000,3000,20260815,not_computed_ci_primary
pm1_2017_2025,site_by_calendar_month_pearson,equal_per_observation,fai,harmful_cyanobacteria,0.12293473909666762,0.12293473909666762,0.06909628979545461,756,13,13,102,10,17,7,0.028386650661676276,0.22248274223856457,3000,0.034938771365820777,0.22585085951564393,3000,-0.039900659880165341,0.19597350760054355,3000,3000,20260815,not_computed_ci_primary
