site,year,satellite_site_dates,scene_components,unique_scenes,unique_products,unique_tiles,ndci_valid_pixel_sum,fai_valid_pixel_sum,median_gap_days,max_gap_days,observed_low_coverage,archive_cause_verified,accounting_period
Ipo Weir,2017,6,6,6,6,1,63642,63642,25,115,True,False,2017_2025
Ipo Weir,2018,6,6,6,6,1,63642,63642,20,80,True,False,2017_2025
Ipo Weir,2019,8,8,8,8,1,84711,84711,15,100,False,False,2017_2025_and_2019_2025_sensitivity
Ipo Weir,2020,12,12,12,12,1,113570,113200,10,65,False,False,2017_2025_and_2019_2025_sensitivity
Ipo Weir,2021,8,8,8,8,1,84844,84726,20,70,False,False,2017_2025_and_2019_2025_sensitivity
Ipo Weir,2022,8,8,8,8,1,84856,84856,10,105,False,False,2017_2025_and_2019_2025_sensitivity
Ipo Weir,2023,7,7,7,7,1,74249,74249,17.5,35,False,False,2017_2025_and_2019_2025_sensitivity
Ipo Weir,2024,11,11,11,11,1,116665,116665,10,55,False,False,2017_2025_and_2019_2025_sensitivity
Ipo Weir,2025,9,9,9,9,1,95461,95461,17.5,48,False,False,2017_2025_and_2019_2025_sensitivity
Yeoju Weir,2017,6,6,6,6,1,59904,59904,25,115,True,False,2017_2025
Yeoju Weir,2018,6,6,6,6,1,55039,55039,20,80,True,False,2017_2025
Yeoju Weir,2019,9,9,9,9,1,85524,85524,10,100,False,False,2017_2025_and_2019_2025_sensitivity
Yeoju Weir,2020,12,12,12,12,1,115896,115570,10,65,False,False,2017_2025_and_2019_2025_sensitivity
Yeoju Weir,2021,8,8,8,8,1,78379,78367,20,70,False,False,2017_2025_and_2019_2025_sensitivity
Yeoju Weir,2022,8,8,8,8,1,79872,79872,10,105,False,False,2017_2025_and_2019_2025_sensitivity
Yeoju Weir,2023,7,7,7,7,1,69888,69888,17.5,35,False,False,2017_2025_and_2019_2025_sensitivity
Yeoju Weir,2024,11,11,11,11,1,109800,109800,10,55,False,False,2017_2025_and_2019_2025_sensitivity
Yeoju Weir,2025,9,9,9,9,1,78997,78997,17.5,48,False,False,2017_2025_and_2019_2025_sensitivity
Gangcheon Weir,2017,6,6,6,6,1,54360,54360,25,115,True,False,2017_2025
Gangcheon Weir,2018,6,6,6,6,1,54360,54360,20,80,True,False,2017_2025
Gangcheon Weir,2019,9,9,9,9,1,79867,79857,10,100,False,False,2017_2025_and_2019_2025_sensitivity
Gangcheon Weir,2020,12,12,12,12,1,102022,101977,10,65,False,False,2017_2025_and_2019_2025_sensitivity
Gangcheon Weir,2021,8,8,8,8,1,65463,65449,20,70,False,False,2017_2025_and_2019_2025_sensitivity
Gangcheon Weir,2022,8,8,8,8,1,72480,72480,10,105,False,False,2017_2025_and_2019_2025_sensitivity
Gangcheon Weir,2023,7,7,7,7,1,63420,63420,17.5,35,False,False,2017_2025_and_2019_2025_sensitivity
Gangcheon Weir,2024,11,11,11,11,1,99431,99431,10,55,False,False,2017_2025_and_2019_2025_sensitivity
Gangcheon Weir,2025,9,9,9,9,1,74800,74800,17.5,48,False,False,2017_2025_and_2019_2025_sensitivity
Sangju Weir,2017,3,3,3,3,1,22599,22599,90,95,True,False,2017_2025
Sangju Weir,2018,6,6,6,6,1,45198,45198,22,72,True,False,2017_2025
Sangju Weir,2019,21,21,21,21,1,151775,150605,6,35,False,False,2017_2025_and_2019_2025_sensitivity
Sangju Weir,2020,22,22,22,22,1,154090,154030,5,30,False,False,2017_2025_and_2019_2025_sensitivity
Sangju Weir,2021,20,21,21,21,1,136160,135274,7,37,False,False,2017_2025_and_2019_2025_sensitivity
Sangju Weir,2022,18,18,18,18,1,135594,135594,5,52,False,False,2017_2025_and_2019_2025_sensitivity
Sangju Weir,2023,19,19,19,19,1,143127,143127,6,43,False,False,2017_2025_and_2019_2025_sensitivity
Sangju Weir,2024,23,24,24,24,1,180018,180018,5,55,False,False,2017_2025_and_2019_2025_sensitivity
Sangju Weir,2025,17,19,19,19,1,133280,133280,5,31,False,False,2017_2025_and_2019_2025_sensitivity
Nakdan Weir,2017,3,3,3,3,1,21561,21561,90,95,True,False,2017_2025
Nakdan Weir,2018,6,6,6,6,1,43122,43122,22,72,True,False,2017_2025
Nakdan Weir,2019,21,21,21,21,1,144994,142536,6,35,False,False,2017_2025_and_2019_2025_sensitivity
Nakdan Weir,2020,22,22,22,22,1,148292,148270,5,30,False,False,2017_2025_and_2019_2025_sensitivity
Nakdan Weir,2021,20,21,21,21,1,134702,132671,7,37,False,False,2017_2025_and_2019_2025_sensitivity
Nakdan Weir,2022,18,18,18,18,1,129366,129366,5,52,False,False,2017_2025_and_2019_2025_sensitivity
Nakdan Weir,2023,19,19,19,19,1,136553,136552,6,43,False,False,2017_2025_and_2019_2025_sensitivity
Nakdan Weir,2024,23,24,24,24,1,165815,165815,5,55,False,False,2017_2025_and_2019_2025_sensitivity
Nakdan Weir,2025,17,19,19,19,1,125557,125557,5,31,False,False,2017_2025_and_2019_2025_sensitivity
Gumi Weir,2017,3,3,3,3,1,3924,3924,90,95,True,False,2017_2025
Gumi Weir,2018,6,6,6,6,1,7848,7848,22,72,True,False,2017_2025
Gumi Weir,2019,21,21,21,21,1,25573,25573,6,35,False,False,2017_2025_and_2019_2025_sensitivity
Gumi Weir,2020,22,22,22,22,1,28096,28096,5,30,False,False,2017_2025_and_2019_2025_sensitivity
Gumi Weir,2021,20,21,21,21,1,22926,22919,7,37,False,False,2017_2025_and_2019_2025_sensitivity
Gumi Weir,2022,18,18,18,18,1,23544,23544,5,52,False,False,2017_2025_and_2019_2025_sensitivity
Gumi Weir,2023,19,19,19,19,1,24852,24852,6,43,False,False,2017_2025_and_2019_2025_sensitivity
Gumi Weir,2024,23,23,23,23,1,28788,28788,5,55,False,False,2017_2025_and_2019_2025_sensitivity
Gumi Weir,2025,17,19,19,19,1,24749,24749,5,31,False,False,2017_2025_and_2019_2025_sensitivity
Chilgok Weir,2017,5,5,5,5,1,36414,36414,41,85,True,False,2017_2025
Chilgok Weir,2018,5,5,5,5,1,39733,39733,3,10,True,False,2017_2025
Chilgok Weir,2019,20,20,20,20,1,149305,149297,5,28,False,False,2017_2025_and_2019_2025_sensitivity
Chilgok Weir,2020,21,21,21,21,1,162696,161943,6,35,False,False,2017_2025_and_2019_2025_sensitivity
Chilgok Weir,2021,16,16,16,16,1,119867,119622,7,37,False,False,2017_2025_and_2019_2025_sensitivity
Chilgok Weir,2022,22,22,22,22,1,184513,184513,5,52,False,False,2017_2025_and_2019_2025_sensitivity
Chilgok Weir,2023,18,18,18,18,1,150966,150966,5,43,False,False,2017_2025_and_2019_2025_sensitivity
Chilgok Weir,2024,21,21,21,21,1,165342,165342,7,25,False,False,2017_2025_and_2019_2025_sensitivity
Chilgok Weir,2025,19,20,20,20,1,167012,167012,3.5,33,False,False,2017_2025_and_2019_2025_sensitivity
