variant_id,weir_en,did,p_value,min_pixel_count,n_pre,n_post
V06,Baekje Weir,-0.08096829848365453,0.0009609222615551808,409,13,13
V06,Changnyeong-Haman Weir,-0.025417692237295078,0.29225193505992086,1845,13,13
V06,Chilgok Weir,-0.06681817033245234,0.02679626263932295,626,13,13
V06,Dalseong Weir,0.018096910585025057,0.0254849267814656,2994,13,13
V06,Gangcheon Weir,-0.009519754580888107,0.7608337911443388,141,13,13
V06,Gangjeong-Goryeong Weir,0.02501618021115888,0.09010859150326252,2424,13,13
V06,Gongju Weir,-0.029255723229330732,0.018373676255301535,68,13,13
V06,Gumi Weir,0.03020149636677648,0.2876329476845566,341,13,13
V06,Hapcheon-Changnyeong Weir,0.05588654805041597,0.060391118467784714,2181,13,13
V06,Ipo Weir,0.059005301653996464,0.004808063219557284,276,13,13
V06,Juksan Weir,-0.009560568610032169,0.6018142389186782,78,13,13
V06,Nakdan Weir,0.023116643753276694,0.29633712356316505,1349,13,13
V06,Sangju Weir,0.02121782545131523,0.51986355506451,106,13,13
V06,Sejong Weir,0.06478456657093024,0.02459519978960887,48,13,13
V06,Seungchon Weir,0.0045688130011752315,0.7124195928546971,46,13,13
V06,Yeoju Weir,-0.09999636340263907,0.0020838822853746788,245,13,13
