window,weir_name,n,minimum,maximum,proportion,degenerate
primary_june_october,강정고령보,184,1.0,1.0,1.0,True
primary_june_october,강천보,135,0.0,1.0,0.05185185185185185,False
primary_june_october,공주보,204,0.0,1.0,0.5049019607843137,False
primary_june_october,구미보,192,0.0,1.0,0.9895833333333334,False
primary_june_october,낙단보,195,0.0,1.0,0.9846153846153847,False
primary_june_october,달성보,208,1.0,1.0,1.0,True
primary_june_october,백제보,193,0.0,1.0,0.6010362694300518,False
primary_june_october,상주보,190,0.0,1.0,0.9263157894736842,False
primary_june_october,세종보,195,0.0,1.0,0.4358974358974359,False
primary_june_october,승촌보,193,0.0,1.0,0.5958549222797928,False
primary_june_october,여주보,130,0.0,1.0,0.046153846153846156,False
primary_june_october,이포보,131,0.0,1.0,0.04580152671755725,False
primary_june_october,죽산보,201,0.0,1.0,0.7014925373134329,False
primary_june_october,창녕함안보,177,1.0,1.0,1.0,True
primary_june_october,칠곡보,179,0.0,1.0,0.9776536312849162,False
primary_june_october,합천창녕보,210,0.0,1.0,0.9952380952380953,False
sensitivity_may_october,강정고령보,224,0.0,1.0,0.9375,False
sensitivity_may_october,강천보,167,0.0,1.0,0.041916167664670656,False
sensitivity_may_october,공주보,249,0.0,1.0,0.42168674698795183,False
sensitivity_may_october,구미보,232,0.0,1.0,0.9267241379310345,False
sensitivity_may_october,낙단보,235,0.0,1.0,0.9234042553191489,False
sensitivity_may_october,달성보,248,0.0,1.0,0.9354838709677419,False
sensitivity_may_october,백제보,233,0.0,1.0,0.51931330472103,False
sensitivity_may_october,상주보,230,0.0,1.0,0.8434782608695652,False
sensitivity_may_october,세종보,239,0.0,1.0,0.3598326359832636,False
sensitivity_may_october,승촌보,232,0.0,1.0,0.5344827586206896,False
sensitivity_may_october,여주보,162,0.0,1.0,0.037037037037037035,False
sensitivity_may_october,이포보,162,0.0,1.0,0.037037037037037035,False
sensitivity_may_october,죽산보,240,0.0,1.0,0.6208333333333333,False
sensitivity_may_october,창녕함안보,216,0.0,1.0,0.9583333333333334,False
sensitivity_may_october,칠곡보,219,0.0,1.0,0.8949771689497716,False
sensitivity_may_october,합천창녕보,250,0.0,1.0,0.92,False
sensitivity_july_september,강정고령보,108,1.0,1.0,1.0,True
sensitivity_july_september,강천보,73,0.0,1.0,0.0958904109589041,False
sensitivity_july_september,공주보,121,0.0,1.0,0.6528925619834711,False
sensitivity_july_september,구미보,112,1.0,1.0,1.0,True
sensitivity_july_september,낙단보,118,0.0,1.0,0.9830508474576272,False
sensitivity_july_september,달성보,126,1.0,1.0,1.0,True
sensitivity_july_september,백제보,117,0.0,1.0,0.717948717948718,False
sensitivity_july_september,상주보,114,0.0,1.0,0.9736842105263158,False
sensitivity_july_september,세종보,119,0.0,1.0,0.5630252100840336,False
sensitivity_july_september,승촌보,117,0.0,1.0,0.6324786324786325,False
sensitivity_july_september,여주보,70,0.0,1.0,0.08571428571428572,False
sensitivity_july_september,이포보,71,0.0,1.0,0.08450704225352113,False
sensitivity_july_september,죽산보,123,0.0,1.0,0.7642276422764228,False
sensitivity_july_september,창녕함안보,101,1.0,1.0,1.0,True
sensitivity_july_september,칠곡보,104,0.0,1.0,0.9807692307692307,False
sensitivity_july_september,합천창녕보,124,1.0,1.0,1.0,True
sensitivity_annual,강정고령보,432,0.0,1.0,0.7546296296296297,False
sensitivity_annual,강천보,342,0.0,1.0,0.02046783625730994,False
sensitivity_annual,공주보,470,0.0,1.0,0.2978723404255319,False
sensitivity_annual,구미보,419,0.0,1.0,0.7446300715990454,False
sensitivity_annual,낙단보,407,0.0,1.0,0.7371007371007371,False
sensitivity_annual,달성보,470,0.0,1.0,0.7787234042553192,False
sensitivity_annual,백제보,426,0.0,1.0,0.33568075117370894,False
sensitivity_annual,상주보,397,0.0,1.0,0.6397984886649875,False
sensitivity_annual,세종보,467,0.0,1.0,0.2698072805139186,False
sensitivity_annual,승촌보,462,0.0,1.0,0.28354978354978355,False
sensitivity_annual,여주보,331,0.0,1.0,0.021148036253776436,False
sensitivity_annual,이포보,332,0.0,1.0,0.024096385542168676,False
sensitivity_annual,죽산보,477,0.0,1.0,0.35639412997903563,False
sensitivity_annual,창녕함안보,430,0.0,1.0,0.8511627906976744,False
sensitivity_annual,칠곡보,411,0.0,1.0,0.7007299270072993,False
sensitivity_annual,합천창녕보,470,0.0,1.0,0.776595744680851,False
