Block,Measurement,Design,Estimate,95% CI,N,Clusters,Inference method,p
Residence-time specificity (primary estimand),Cyanobacteria minus chlorophyll-a,"Endpoint-specific FE contrast, Annual [primary]",0.5398,0.1651 to 0.9224,144 weir-years (288 stacked),16,"Restricted wild cluster bootstrap, 65,536 exhaustive sign patterns; Holm across seasons",WCR p = 0.012985; Holm p = 0.025970
Residence-time specificity (primary estimand),Harmful cyanobacteria,"Standardized log(1+τ) slope, Annual",0.6874,—,144 weir-years,16,Component of the contrast,—
Residence-time specificity (primary estimand),Chlorophyll-a,"Standardized log(1+τ) slope, Annual",0.1476,—,144 weir-years,16,Component of the contrast,—
Residence-time specificity (primary estimand),Cyanobacteria minus chlorophyll-a,"Endpoint-specific FE contrast, Bloom season [secondary, prespecified]",0.2970,−0.1483 to 0.7542,144 weir-years (288 stacked),16,Restricted wild cluster bootstrap; Holm across seasons,WCR p = 0.206711; Holm p = 0.206711
Residence-time specificity (primary estimand),Cyanobacteria minus chlorophyll-a,"Endpoint-specific FE contrast, basin-preserving sensitivity, Annual [conditional on within-basin-year exchangeability]",0.5398,null 2.5–97.5% −0.0401 to 0.3219,144 weir-years (288 stacked),4 basins,"τ permuted within basin-by-year blocks, 9,999 reassignments; observed configuration outside the reassignment orbit, and p varies from 0.0001 to 0.2090 with the statistic",p = 0.0001 (coefficient statistic)
Residence-time specificity (primary estimand),Cyanobacteria minus chlorophyll-a,"Endpoint-specific FE contrast, basin-preserving sensitivity, Bloom season [conditional on within-basin-year exchangeability]",0.2970,null 2.5–97.5% −0.1786 to 0.2219,144 weir-years (288 stacked),4 basins,"τ permuted within basin-by-year blocks, 9,999 reassignments; same orbit and statistic caveats as the annual row",p = 0.0026 (coefficient statistic)
Residence-time specificity (primary estimand),Harmful cyanobacteria,"Standardized log(1+τ) slope, Bloom season",0.6186,—,144 weir-years,16,Component of the contrast,—
Residence-time specificity (primary estimand),Chlorophyll-a,"Standardized log(1+τ) slope, Bloom season",0.3216,—,144 weir-years,16,Component of the contrast,—
Pooled common-FE estimand (reproduced),Cyanobacteria minus chlorophyll-a,"Common-FE interaction, Annual; τ permuted within year",0.8874,0.5053 to 1.2696,288 stacked (144 weir-years),16,"Randomization inference, 4,999 permutations",RI p = 0.0002
Pooled common-FE estimand (reproduced),Cyanobacteria minus chlorophyll-a,"Common-FE interaction, Annual; τ permuted within basin-by-year",0.8874,0.4838 to 1.2910,288 stacked (144 weir-years),16,"Randomization inference, 4,999 permutations",RI p = 0.3348
